source,song_number,song_title,saga,video_title,artist,views,likes,comments,duration,uploaded_date,url,video_id,search_rank,search_metadata,query_bucket,notes
spreadsheet+youtube_search,32,Dangerous,Vengeance,Dangerous | EPIC: The Musical Animatic,Zieru,14997489,282436,5908,3:36,2024-12-01,https://www.youtube.com/watch?v=zJhJ5E1hK2A,zJhJ5E1hK2A,1,17M views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet+youtube_search,32,Dangerous,Vengeance,Dangerous | EPIC: The Musical Animatic,Orange,1491893,68027,1503,3:37,2024-11-11,https://www.youtube.com/watch?v=W1voPFcG5Pc,W1voPFcG5Pc,2,1.5M views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet+youtube_search,32,Dangerous,Vengeance,DANGEROUS _EPIC: The musical / Animatic,Ximena Natzel,3464285,88978,2551,3:31,2024-11-06,https://www.youtube.com/watch?v=enyLVAd4_hA,enyLVAd4_hA,5,3.5M views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet+youtube_search,32,Dangerous,Vengeance,DANGEROUS | EPIC: The Musical [Full Animatic] (The Vengeance Saga),BrittPowwPixel,230461,0,344,3:25,2024-12-11,https://www.youtube.com/watch?v=0IJsfKItXq0,0IJsfKItXq0,4,249K views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet+youtube_search,32,Dangerous,Vengeance,Dangerous | Epic: The Musical - Full Animatic |,mikuchis,53187,6641,229,3:28,2024-11-30,https://www.youtube.com/watch?v=K1eOstWqIi4,K1eOstWqIi4,25,54K views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet+youtube_search,32,Dangerous,Vengeance,Dangerous - EPIC: The Musical Animatic,Jester_u,138652,12962,319,3:25,2024-11-07,https://www.youtube.com/watch?v=Fh69xhuuZ4w,Fh69xhuuZ4w,38,139K views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet+youtube_search,32,Dangerous,Vengeance,Dangerous - EPIC: The Musical [Full Animatic],Noir.Hyacinth,299901,14021,385,3:39,2024-12-02,https://www.youtube.com/watch?v=DIN2S94xsJg,DIN2S94xsJg,3,311K views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet+youtube_search,32,Dangerous,Vengeance,Dangerous || EPIC: The Musical Animatic,LilyisPie ._.,13957,1566,144,3:36,2025-01-12,https://www.youtube.com/watch?v=PAq020WVkek,PAq020WVkek,26,15K views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet+youtube_search,32,Dangerous,Vengeance,💖Dangerous💖//Epic the Musical Animatic,Ramen Noodles Studio,4482,544,59,3:32,2025-02-03,https://www.youtube.com/watch?v=0fI5l8SMd20,0fI5l8SMd20,15,4.7K views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet,32,Dangerous,Vengeance,Dangerous - Epic: The Musical (Animatic),GhostLee,21805,3230,85,3:36,2024-11-08,https://www.youtube.com/watch?v=sqF7W0QrAxg,sqF7W0QrAxg,,,,from spreadsheet
spreadsheet+youtube_search,32,Dangerous,Vengeance,Dangerous | An EPIC: The Musical (Vengeance Saga) Animatic,Lampyrcy,221601,13564,303,3:29,2024-11-03,https://www.youtube.com/watch?v=EIT2VfCDlok,EIT2VfCDlok,19,222K views | 1 year ago,query-candidate,from spreadsheet; also found in three-scroll YouTube query
spreadsheet,32,Dangerous,Vengeance,Dangerous | EPIC: The Musical Animatic,The Traveling Pen,2800,272,19,3:23,2024-11-28,https://www.youtube.com/watch?v=PZ_ybYFWhkY,PZ_ybYFWhkY,,,,from spreadsheet
spreadsheet,32,Dangerous,Vengeance,DANGEROUS | EPIC: The musical Full animation,Dschanky ,5360,579,37,3:24,2024-11-16,https://www.youtube.com/watch?v=Rgz0Wzsbu9U,Rgz0Wzsbu9U,,,,from spreadsheet
spreadsheet,32,Dangerous,Vengeance,Dangerous || EPIC: The Musical Full Animatic,ShleepyVoid,8610,835,42,3:30,2024-11-21,https://www.youtube.com/watch?v=-ZrmTad1JAs,-ZrmTad1JAs,,,,from spreadsheet
spreadsheet,32,Dangerous,Vengeance,Dangerous  | Epic: The Musical | Vengance Saga,Lex,8087,0,22,3:27,2024-11-08,https://www.youtube.com/watch?v=8-37yAGtBlY,8-37yAGtBlY,,,,from spreadsheet
spreadsheet,32,Dangerous,Vengeance,Dangerous || EPIC Animatic,Haiinya,1274,84,9,3:38,2024-11-09,https://www.youtube.com/watch?v=_pYLuABrEXA,_pYLuABrEXA,,,,from spreadsheet
spreadsheet,32,Dangerous,Vengeance,DANGEROUS II EPIC THE MUSICAL animatic!,Junebug Draws,173,20,0,3:24,2024-12-16,https://www.youtube.com/watch?v=UqJN-CDqMYg,UqJN-CDqMYg,,,,from spreadsheet
spreadsheet,32,Dangerous,Vengeance,Dangerous | Epic the Musical Animatic,Skystep1,1350,133,12,3:24,2024-11-13,https://www.youtube.com/watch?v=yaktUyTotA8,yaktUyTotA8,,,,from spreadsheet
spreadsheet,32,Dangerous,Vengeance,Dangerous | Epic the musical animatic |TW: some flashes,Fortuna Azofe / Fluger,308,24,3,3:25,2024-11-20,https://www.youtube.com/watch?v=74rd5jNyu34,74rd5jNyu34,,,,from spreadsheet
spreadsheet,32,Dangerous,Vengeance,Dangerous - EPIC The Musical - Animatic,Marie Star Au,183,20,3,3:29,2025-01-08,https://www.youtube.com/watch?v=SdYQcZ-Ztkw,SdYQcZ-Ztkw,,,,from spreadsheet
