year,commodity,tons_per_gdppc,unit_value_nominal,gdppc
1959,2017-cesiu,0.001320627802690583,2230000.0,2945.0
1960,2017-cesiu,0.0025218487394957985,1190000.0,3001.0
1961,2017-cesiu,0.003686746987951807,830000.0,3060.0
1962,2017-cesiu,0.0039,830000.0,3237.0
1963,2017-cesiu,0.006475,520000.0,3367.0
1964,2017-cesiu,0.006857692307692308,520000.0,3566.0
1965,2017-cesiu,0.00658448275862069,580000.0,3819.0
1966,2017-cesiu,0.007132758620689655,580000.0,4137.0
1967,2017-cesiu,0.007460344827586207,580000.0,4327.0
1968,2017-cesiu,0.008079310344827586,580000.0,4686.0
1969,2017-cesiu,0.009651923076923077,520000.0,5019.0
1970,2017-cesiu,0.010063461538461538,520000.0,5233.0
1971,2017-cesiu,0.010786538461538462,520000.0,5609.0
1972,2017-cesiu,0.011717307692307692,520000.0,6093.0
1973,2017-cesiu,0.012932692307692308,520000.0,6725.0
1974,2017-cesiu,0.013892307692307692,520000.0,7224.0
1975,2017-cesiu,0.015001923076923078,520000.0,7801.0
1976,2017-cesiu,0.01651923076923077,520000.0,8590.0
1977,2017-cesiu,0.014318181818181818,660000.0,9450.0
1978,2017-cesiu,0.01821206896551724,580000.0,10563.0
1979,2017-cesiu,0.023344,500000.0,11672.0
1980,2017-cesiu,0.025094,500000.0,12547.0
1981,2017-cesiu,0.027886,500000.0,13943.0
1982,2017-cesiu,0.021816666666666668,660000.0,14399.0
1983,2017-cesiu,0.023496969696969697,660000.0,15508.0
1984,2017-cesiu,0.02587878787878788,660000.0,17080.0
1985,2017-cesiu,0.025266666666666666,720000.0,18192.0
1986,2017-cesiu,0.02642777777777778,720000.0,19028.0
1987,2017-cesiu,0.030292424242424242,660000.0,19993.0
1988,2017-cesiu,0.03237575757575758,660000.0,21368.0
1989,2017-cesiu,0.03305072463768116,690000.0,22805.0
1990,2017-cesiu,0.034543478260869565,690000.0,23835.0
1991,2017-cesiu,0.035202898550724636,690000.0,24290.0
1992,2017-cesiu,0.0006591948051948052,38500000.0,25379.0
1993,2017-cesiu,0.0006844155844155845,38500000.0,26350.0
1994,2017-cesiu,0.0007184415584415584,38500000.0,27660.0
1995,2017-cesiu,0.0007024019607843137,40800000.0,28658.0
1996,2017-cesiu,0.0007336274509803922,40800000.0,29932.0
1997,2017-cesiu,0.0007190846681922197,43700000.0,31424.0
1998,2017-cesiu,0.0005184518167456557,63300000.0,32818.0
1999,2017-cesiu,0.0005447077409162718,63300000.0,34480.0
2000,2017-cesiu,0.0005734597156398104,63300000.0,36300.0
2001,2017-cesiu,0.000742,50000000.0,37100.0
2002,2017-cesiu,0.00075908,50000000.0,37954.0
2003,2017-cesiu,0.0007580769230769231,52000000.0,39420.0
2004,2017-cesiu,0.000767219152854512,54300000.0,41660.0
2005,2017-cesiu,0.0008112707182320442,54300000.0,44052.0
2006,2017-cesiu,0.0008270840787119857,55900000.0,46234.0
2007,2017-cesiu,0.0008582468694096602,55900000.0,47976.0
2008,2017-cesiu,0.0008304452054794521,58400000.0,48498.0
2009,2017-cesiu,0.0007503662420382165,62800000.0,47123.0
2010,2017-cesiu,0.00075890625,64000000.0,48570.0
2011,2017-cesiu,0.0007579969650986343,65900000.0,49952.0
2012,2017-cesiu,0.000757258064516129,68200000.0,51645.0
2013,2017-cesiu,0.0007540368271954674,70600000.0,53235.0
2014,2017-cesiu,0.000750599455040872,73400000.0,55094.0
2015,2017-cesiu,0.0007434162303664922,76400000.0,56797.0
2016,2017-cesiu,0.00076225,76000000.0,57931.0
2017,2017-cesiu,0.0007624142312579415,78700000.0,60002.0
1932,2017-quart,0.9388560157790927,507.0,476.0
