ind code,self-employed,employee,TOTAL
17,0,21,21
18,0,24,24
19,0,150,150
29,0,46,46
37,25,20,45
49,0,27,27
57,0,231,231
59,0,40,40
67,0,69,69
69,0,44,44
77,89,169,258
107,50,37,87
108,0,24,24
117,0,5,5
129,0,18,18
168,19,0,19
187,0,30,30
199,42,243,285
207,0,23,23
219,16,156,172
228,14,122,136
229,0,56,56
237,0,23,23
239,0,9,9
279,0,22,22
288,42,65,107
298,0,39,39
307,0,40,40
308,0,50,50
309,17,0,17
317,0,12,12
318,0,23,23
319,0,174,174
336,13,282,295
337,13,57,70
338,0,169,169
339,0,201,201
347,0,42,42
349,0,31,31
357,0,156,156
358,0,175,175
359,21,93,114
368,0,63,63
387,0,9,9
389,0,90,90
396,22,174,196
397,38,74,112
398,23,46,69
407,0,71,71
417,31,105,136
419,0,76,76
426,21,47,68
427,0,27,27
428,8,0,8
429,16,71,87
437,6,52,58
438,0,40,40
447,22,48,70
448,0,18,18
449,0,16,16
456,0,7,7
457,18,0,18
458,58,137,195
459,0,58,58
467,13,180,193
468,13,27,40
469,0,36,36
477,0,79,79
479,20,489,509
487,0,108,108
497,0,85,85
498,0,40,40
507,0,49,49
508,15,65,80
509,0,47,47
517,0,90,90
518,0,49,49
527,0,186,186
537,80,198,278
538,0,384,384
539,0,51,51
547,29,108,137
548,0,24,24
549,16,35,51
557,22,41,63
558,41,88,129
559,183,806,989
569,0,65,65
579,0,43,43
607,0,84,84
608,0,49,49
617,0,89,89
618,0,114,114
627,0,25,25
629,0,43,43
637,0,24,24
638,0,53,53
639,0,11,11
647,1015,8458,9473
648,6850,6415,13265
649,0,81,81
657,2112,2685,4797
659,108,176,284
667,569,3140,3709
668,0,358,358
669,0,286,286
677,0,161,161
678,399,1738,2137
679,0,510,510
687,0,326,326
688,0,106,106
689,0,486,486
697,124,870,994
699,124,1045,1169
707,264,419,683
708,0,21,21
727,68,174,242
728,52,229,281
729,86,480,566
737,372,201,573
738,365,1670,2035
739,3020,1614,4634
746,398,869,1267
747,4721,8365,13086
749,292,422,714
757,49,43,92
758,19,241,260
759,352,479,831
767,82,267,349
768,33,35,68
778,30,136,166
786,142,1584,1726
787,322,5510,5832
788,18,149,167
789,372,658,1030
797,21,100,121
799,27,0,27
808,21,66,87
809,0,239,239
817,16,26,42
818,56,391,447
819,59,651,710
827,11,50,61
829,0,100,100
837,74,898,972
838,5,296,301
839,0,123,123
847,0,156,156
856,52015,4792,56807
857,81,378,459
859,49,444,493
866,0,136,136
867,29,0,29
868,22,507,529
877,28,126,154
878,0,21,21
888,0,23,23
908,9,0,9
909,91,98,189
916,0,933,933
917,0,4375,4375
918,0,110,110
919,0,1046,1046
929,40,6,46
937,0,854,854
938,0,99,99
939,0,1597,1597
947,0,762,762
948,0,578,578
949,0,549,549
957,0,382,382
959,0,596,596
