ind code,self-employed,employee,TOTAL
170,36,65,101
190,0,93,93
290,17,0,17
490,0,32,32
570,0,195,195
670,0,104,104
680,0,25,25
770,3,656,659
1070,0,75,75
1090,0,57,57
1170,0,23,23
1180,0,38,38
1270,0,6,6
1280,0,57,57
1370,0,106,106
1470,0,41,41
1590,0,16,16
1691,0,44,44
1770,0,89,89
1890,0,12,12
1990,46,307,353
2170,0,10,10
2180,0,26,26
2190,22,337,359
2280,0,20,20
2290,0,39,39
2370,0,61,61
2390,0,10,10
2480,0,18,18
2490,0,48,48
2570,10,17,27
2870,0,33,33
2880,0,37,37
2970,43,0,43
2980,0,53,53
3070,0,83,83
3080,0,25,25
3095,0,17,17
3180,0,32,32
3291,0,128,128
3365,0,89,89
3370,0,95,95
3380,0,85,85
3390,102,470,572
3470,0,12,12
3490,0,41,41
3570,0,385,385
3580,0,180,180
3590,0,17,17
3680,0,37,37
3690,0,5,5
3770,0,28,28
3895,0,161,161
3960,0,622,622
3970,86,110,196
3980,8,197,205
3990,0,13,13
4070,0,164,164
4080,0,35,35
4090,0,15,15
4170,0,350,350
4195,0,41,41
4265,0,15,15
4270,0,114,114
4290,0,76,76
4370,10,18,28
4380,15,371,386
4390,0,6,6
4470,0,125,125
4490,0,87,87
4560,0,41,41
4580,0,159,159
4585,0,98,98
4590,0,49,49
4670,0,215,215
4680,0,62,62
4690,15,56,71
4770,39,672,711
4795,8,324,332
4870,0,95,95
4890,0,67,67
4971,6,171,177
4980,20,44,64
4990,0,327,327
5070,0,86,86
5080,0,351,351
5170,37,496,533
5180,0,46,46
5190,0,244,244
5275,0,499,499
5280,0,63,63
5370,79,403,482
5381,0,200,200
5391,12,182,194
5480,0,4,4
5490,0,41,41
5570,0,253,253
5580,27,445,472
5593,166,1689,1855
5670,25,0,25
5690,11,381,392
5790,29,229,258
6070,0,171,171
6090,0,25,25
6170,0,99,99
6180,36,227,263
6190,11,0,11
6280,0,47,47
6290,18,147,165
6370,0,60,60
6380,0,28,28
6390,0,69,69
6470,787,4760,5547
6480,5516,6041,11557
6490,0,587,587
6570,3108,4332,7440
6590,43,110,153
6670,752,3222,3974
6672,5255,4272,9527
6680,113,297,410
6690,522,485,1007
6695,470,449,919
6770,17,306,323
6780,36,868,904
6870,0,874,874
6880,0,175,175
6890,123,891,1014
6970,38,2265,2303
6991,46,1721,1767
6992,0,497,497
7071,56,702,758
7072,0,11,11
7080,0,88,88
7181,0,134,134
7190,0,100,100
7270,125,1484,1609
7280,31,523,554
7290,62,1272,1334
7370,264,234,498
7380,989,6167,7156
7390,4138,5827,9965
7460,296,2021,2317
7470,4214,13742,17956
7480,0,39,39
7490,469,1398,1867
7570,11,471,482
7580,72,1447,1519
7590,1206,934,2140
7670,101,437,538
7680,5,193,198
7690,24,5,29
7780,184,470,654
7790,0,30,30
7860,97,1701,1798
7870,122,11185,11307
7880,41,181,222
7890,329,2341,2670
7970,26,361,387
7980,0,52,52
8080,67,48,115
8090,57,944,1001
8170,0,178,178
8180,7,396,403
8191,29,1367,1396
8192,0,24,24
8270,0,120,120
8290,0,214,214
8370,132,2324,2456
8380,13,733,746
8390,30,157,187
8470,0,230,230
8561,240,505,745
8562,366,318,684
8563,212,197,409
8564,58771,10923,69694
8570,108,907,1015
8590,438,1404,1842
8660,0,176,176
8670,0,97,97
8680,0,141,141
8690,0,13,13
8770,0,154,154
8870,18,0,18
8990,0,7,7
9090,60,268,328
9160,125,1870,1995
9170,333,8543,8876
9180,0,211,211
9190,0,861,861
9370,0,2454,2454
9380,0,166,166
9390,0,250,250
9470,0,582,582
9480,0,867,867
9490,0,361,361
9570,0,871,871
9590,0,1641,1641
