code,desc,count
0,Not in universe (Under 16 years or LASTWRK = 2),"5,732,979"
17,Crop production,"97,766"
18,Animal production,"55,560"
19,Forestry except logging,"3,314"
27,Logging,"11,582"
28,"Fishing, hunting, and trapping","5,090"
29,Support activities for agriculture and forestry,"9,503"
37,Oil and gas extraction,"4,214"
38,Coal mining,"6,093"
39,Metal ore mining,"1,824"
47,Nonmetallic mineral mining and quarrying,"9,364"
49,Support activities for mining,"14,810"
57,Electric power generation transmission and distribution,"39,814"
58,Natural gas distribution,"8,159"
59,Electric and gas and other combinations,"2,698"
67,"Water, steam, air-conditioning, and irrigation systems","13,249"
68,Sewage treatment facilities,"4,959"
69,Not specified utilities,"2,730"
77,Construction,"579,867"
107,"Animal food, grain, and oilseed milling","7,817"
108,Sugar and confectionery products,"6,070"
109,Fruit and vegetable preserving and specialty food manufacturing,"11,973"
117,Dairy product manufacturing,"7,691"
118,Animal slaughtering and processing,"30,421"
119,Retail bakeries,"10,084"
127,Bakeries except retail,"10,069"
128,Seafood and other miscellaneous foods n.e.c.,"10,511"
129,Not specified food industries,"5,550"
137,Beverage manufacturing,"10,717"
139,Tobacco manufacturing,"2,549"
147,"Fiber, yarn, and thread mills","3,826"
148,"Fabric mills, except knitting","13,548"
149,Textile and fabric finishing and coating mills,"5,045"
157,Carpets and rugs manufacturing,"4,949"
159,Textile product mills except carpets and rugs,"13,385"
167,Knitting mills,"6,080"
168,Cut and sew apparel manufacturing,"31,324"
169,Apparel accessories and other apparel manufacturing,"5,023"
177,Footwear manufacturing,"3,113"
179,"Leather tanning and products, except footwear manufacturing","3,061"
187,"Pulp, paper, and paperboard mills","18,649"
188,Paperboard containers and boxes,"9,660"
189,Miscellaneous paper and pulp products,"9,295"
199,Printing and related support activities,"50,837"
207,Petroleum refining,"7,799"
209,Miscellaneous petroleum and coal products,"1,985"
217,"Resin, synthetic rubber and fibers, and filaments manufacturing","3,534"
218,Agricultural chemical manufacturing,"2,232"
219,Pharmaceutical and medicine manufacturing,"19,784"
227,"Paint, coating, and adhesives manufacturing","4,253"
228,"Soap, cleaning compound, and cosmetic manufacturing","7,384"
229,Industrial and miscellaneous chemicals,"28,742"
237,Plastics product manufacturing,"41,931"
238,Tire manufacturing,"6,432"
239,"Rubber products, except tires, manufacturing","7,000"
247,"Pottery, ceramics, and related products manufacturing","3,136"
248,Structural clay product manufacturing,"2,804"
249,Glass and glass product manufacturing,"11,663"
257,"Cement, concrete, lime, and gypsum product manufacturing","11,143"
259,Miscellaneous nonmetallic mineral product manufacturing,"5,363"
267,Iron and steel mills and steel product manufacturing,"20,892"
268,Aluminum production and processing,"6,584"
269,"Nonferrous metal, except aluminum, production and processing","4,646"
277,Foundries,"12,070"
278,Metal forgings and stampings,"7,570"
279,Cutlery and hand tool manufacturing,"4,708"
287,Structural metals and tank and shipping container manufacturing,"27,111"
288,Machine shops; turned product; screw nut and bolt manufacturing,"25,125"
289,"Coating, engraving, heat treating and allied activities","7,328"
297,Ordnance,"2,094"
298,Miscellaneous fabricated metal products manufacturing,"21,348"
299,Not specified metal industries,"1,793"
307,Agricultural implement manufacturing,"7,189"
308,Construction mining and oil field machinery manufacturing,"8,179"
309,Commercial and service industry machinery manufacturing,"8,907"
317,Metalworking machinery manufacturing,"14,276"
318,"Engines, turbines, and power transmission equipment manufacturing","6,033"
319,"Machinery manufacturing, n.e.c.","39,268"
329,Not specified machinery manufacturing,"1,649"
336,Computer and peripheral equipment manufacturing,"23,414"
337,"Communications, audio, and video equipment manufacturing","15,338"
338,"Navigational, measuring, electromedical, and control instruments manufacturing","14,014"
339,"Electronic component and product manufacturing, n.e.c.","55,411"
347,Household appliance manufacturing,"7,763"
349,"Electrical machinery, equipment, and supplies manufacturing, n.e.c.","29,013"
357,Motor vehicles and motor vehicle equipment manufacturing,"92,069"
358,Aircraft and parts manufacturing,"25,580"
359,Aerospace product and parts manufacturing,"13,634"
367,Railroad rolling stock manufacturing,"2,398"
368,Ship and boat building,"11,402"
369,Other transportation equipment manufacturing,"2,348"
377,Sawmills and wood preservation,"11,259"
378,"Veneer, plywood, and engineered wood product manufacturing","5,134"
379,Prefabricated wood buildings and mobile homes manufacturing,"5,973"
387,Miscellaneous wood product manufacturing,"18,368"
389,Furniture and fixtures,"44,456"
396,Medical equipment and supplies manufacturing,"25,451"
397,"Toys, amusement, and sporting goods manufacturing","9,380"
398,"Miscellaneous manufacturing, n.e.c.","28,041"
399,Not specified manufacturing industries,"49,642"
407,"Motor vehicles, parts and supplies wholesalers","15,520"
408,Furniture and home furnishing wholesalers,"5,963"
409,Lumber and other construction materials wholesalers,"11,261"
417,Professional and commercial equipment and supplies wholesalers,"22,120"
418,"Metals and minerals, except petroleum, wholesalers","4,992"
419,Electrical goods wholesalers,"20,948"
426,"Hardware, plumbing and heating equipment, and supplies wholesalers","10,154"
427,"Machinery, equipment, and supplies wholesalers","30,608"
428,Recyclable material wholesalers,"7,487"
429,Miscellaneous durable goods wholesalers,"12,689"
437,Paper and paper product wholesalers,"6,665"
438,"Drugs, sundries, and chemical and allied product wholesalers","11,366"
439,"Apparel, fabrics, and notions wholesalers","8,108"
447,Groceries and related product wholesalers,"52,604"
448,Farm product raw material wholesalers,"3,686"
449,Petroleum and petroleum product wholesalers,"10,324"
456,Alcoholic beverage wholesalers,"7,130"
457,Farm supplies wholesalers,"6,338"
458,Miscellaneous nondurable goods wholesalers,"13,589"
459,Not specified wholesale trade,"17,600"
467,Automobile dealers,"67,980"
468,Other motor vehicle dealers,"8,986"
469,"Auto parts, accessories, and tire stores","26,432"
477,Furniture and home furnishings stores,"37,078"
478,Household appliance stores,"5,415"
479,"Radio, TV, and computer stores","42,616"
487,Building material and supplies dealers,"47,460"
488,Hardware stores,"13,241"
489,Lawn and garden equipment and supplies stores,"14,923"
497,Grocery stores,"196,760"
498,Specialty food stores,"13,991"
499,"Beer, wine, and liquor stores","6,666"
507,Pharmacies and drug stores,"41,969"
508,"Health and personal care, except drug, stores","14,754"
509,Gasoline stations,"30,828"
517,"Clothing and accessories, except shoe, stores","47,392"
518,Shoe stores,"9,600"
519,"Jewelry, luggage, and leather goods stores","11,611"
527,"Sporting goods, camera, and hobby and toy stores","24,725"
528,"Sewing, needlework and piece goods stores","3,889"
529,Music stores,"8,404"
537,Book stores and news dealers,"10,952"
538,Department stores,"152,147"
539,Miscellaneous general merchandise stores,"9,341"
547,Retail florists,"12,656"
548,Office supplies and stationary stores,"11,534"
549,Used merchandise stores,"14,208"
557,"Gift, novelty, and souvenir shops","18,120"
558,Miscellaneous retail stores,"24,575"
559,Electronic shopping and mail-order houses,"18,127"
567,Vending machine operators,"3,416"
568,Fuel dealers,"4,583"
569,Other direct selling establishments,"14,384"
579,Not specified retail trade,"34,183"
607,Air transportation,"35,354"
608,Rail transportation,"16,920"
609,Water transportation,"3,492"
617,Truck transportation,"110,288"
618,Bus service and urban transit,"27,113"
619,Taxi and limousine service,"10,701"
627,Pipeline transportation,"1,900"
628,Scenic and sightseeing transportation,"1,979"
629,Services incidental to transportation,"35,857"
637,Postal Service,"53,763"
638,Courier and messengers,"24,752"
639,Warehousing and storage,"17,855"
647,Newspaper publishers,"32,140"
648,Publishing except newspapers and software,"23,423"
649,Software publishing,"2,937"
657,Motion pictures and video industries,"19,421"
659,Sound recording industries,"2,059"
667,Radio and television broadcasting and cable,"32,444"
668,Wired telecommunications carriers,"52,941"
669,Other telecommunication services,"21,744"
677,Libraries and archives,"16,013"
678,Other information services,"13,586"
679,Data processing services,"11,114"
687,Banking and related activities,"111,689"
688,"Savings institutions, including credit unions","11,756"
689,Non-depository credit and related activities,"45,727"
697,"Securities, commodities, funds, trusts, and other financial investments","57,240"
699,Insurance carriers and related activities,"137,381"
707,Real estate,"117,806"
708,Automotive equipment rental and leasing,"10,132"
717,Video tape and disk rental,"8,341"
718,Other consumer goods rental,"6,051"
719,"Commercial, industrial, and other intangible assets rental and leasing","4,321"
727,Legal services,"82,498"
728,"Accounting, tax preparation, bookkeeping and payroll services","50,137"
729,"Architectural, engineering, and related services","66,529"
737,Specialized design services,"15,859"
738,Computer systems design and related services,"63,378"
739,"Management, scientific and technical consulting services","53,438"
746,Scientific research and development services,"25,966"
747,Advertising and related services,"30,408"
748,Veterinary services,"13,550"
749,"Other professional, scientific and technical services","17,794"
757,Management of companies and enterprises,"3,754"
758,Employment services,"61,743"
759,Business support services,"37,214"
767,Travel arrangement and reservation services,"18,325"
768,Investigation and security services,"31,832"
769,Services to buildings and dwellings,"60,493"
777,Landscaping services,"56,372"
778,Other administrative and other support services,"12,672"
779,Waste management and remediation services,"21,346"
786,Elementary and secondary schools,"480,358"
787,"Colleges and universities, including junior colleges","179,162"
788,"Business, technical, and trade schools and training","7,524"
789,"Other schools, instruction, and educational services","20,634"
