code,desc,count
0170,AGR-Crop Production,0
0180,AGR-Animal Production And Aquaculture,0
0190,AGR-Forestry Except Logging,0
0270,AGR-Logging,0
0280,"AGR-Fishing, Hunting And Trapping",0
0290,AGR-Support Activities For Agriculture And Forestry,0
0370,EXT-Oil And Gas Extraction,0
0380,EXT-Coal Mining,0
0390,EXT-Metal Ore Mining,0
0470,EXT-Nonmetallic Mineral Mining And Quarrying,0
0490,EXT-Support Activities For Mining,0
0570,"UTL-Electric Power Generation, Transmission And Distribution",0
0580,UTL-Natural Gas Distribution,0
0590,"UTL-Electric And Gas, And Other Combinations",0
0670,"UTL-Water, Steam, Air-Conditioning, And Irrigation Systems",0
0680,UTL-Sewage Treatment Facilities,0
0690,UTL-Not Specified Utilities,0
0770,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),0
1070,"MFG-Animal Food, Grain And Oilseed Milling","10,414"
1080,MFG-Sugar And Confectionery Products,"5,084"
1090,MFG-Fruit And Vegetable Preserving And Specialty Food,"9,319"
1170,MFG-Dairy Product,"9,720"
1180,MFG-Animal Slaughtering And Processing,"24,884"
1190,MFG-Retail Bakeries,"10,967"
1270,"MFG-Bakeries And Tortilla, Except Retail Bakeries","10,780"
1280,"MFG-Seafood And Other Miscellaneous Foods, N.E.C.","14,163"
1290,MFG-Not Specified Food Industries,"2,001"
1370,MFG-Beverage,"16,173"
1390,MFG-Tobacco,949
1470,"MFG-Fiber, Yarn, And Thread Mills",771
1480,"MFG-Fabric Mills, Except Knitting Mills","5,529"
1490,MFG-Textile And Fabric Finishing And Fabric Coating Mills,841
1570,MFG-Carpet And Rug Mills,"2,501"
1590,"MFG-Textile Product Mills, Except Carpet And Rug","4,449"
1670,"MFG-Knitting Fabric Mills, And Apparel Knitting Mills",867
1691,"MFG-Cut And Sew, And Apparel Accessories And Other Apparel","10,969"
1770,MFG-Footwear,"1,493"
1790,"MFG-Leather And Hide Tanning And Finishing, And Other Leather And Allied Product","1,315"
1870,"MFG-Pulp, Paper, And Paperboard Mills","11,603"
1880,MFG-Paperboard Container,"5,675"
1890,MFG-Miscellaneous Paper And Pulp Products,"5,178"
1990,MFG-Printing And Related Support Activities,"28,664"
2070,MFG-Petroleum Refining,"9,640"
2090,MFG-Miscellaneous Petroleum And Coal Products,"1,530"
2170,"MFG-Resin, Synthetic Rubber, And Fibers And Filaments","9,217"
2180,MFG-Agricultural Chemical,"2,342"
2190,MFG-Pharmaceutical And Medicine,"32,086"
2270,"MFG-Paint, Coating, And Adhesive","4,009"
2280,"MFG-Soap, Cleaning Compound, And Cosmetics","8,241"
2290,MFG-Industrial And Miscellaneous Chemicals,"24,118"
2370,MFG-Plastics Product,"25,731"
2380,MFG-Tire,"4,686"
2390,"MFG-Rubber Products, Except Tires","4,445"
2470,"MFG-Pottery, Ceramics, And Plumbing Fixture","1,572"
2480,MFG-Clay Building Material And Refractories,"1,661"
2490,MFG-Glass And Glass Product,"8,656"
