Table 3.1. Government Current Receipts and Expenditures
Table 3.1. Government Current Receipts and Expenditures
"Last Revised on: September 25, 2025 - Next Release Date October 30, 2025"
Line,,2023,2024
Line,,,
1,"        Current receipts",7514.3,8008.3
2,Current tax receipts,5330.6,5645.5
3,"    Personal current taxes",2835.7,2988.2
4,"    Taxes on production and imports",1861.0,1954.7
5,"    Taxes on corporate income",597.8,663.7
6,"    Taxes from the rest of the world",36.0,38.9
7,Contributions for government social insurance,1807.1,1929.6
8,"    From persons",1800.6,1923.2
9,"    From the rest of the world1",6.4,6.5
10,Income receipts on assets,168.3,196.3
11,"    Interest and miscellaneous receipts",161.3,189.3
12,"        Interest receipts2",127.7,157.4
13,"        Rents and royalties",33.5,31.9
14,"    Dividends",7.1,7.0
15,Current transfer receipts,255.3,284.4
16,"    From business (net)",112.6,140.0
17,"    From persons",135.8,141.1
18,"    From the rest of the world3",6.9,3.3
19,Current surplus of government enterprises4,-46.9,-47.5
20,"        Current expenditures",9358.9,10061.5
21,Consumption expenditures,3765.9,3991.8
22,Current transfer payments,4272.2,4577.8
23,"    Government social benefits",4182.5,4490.0
24,"        To persons",4150.6,4455.7
25,"        To the rest of the world5",32.0,34.3
26,"    Other current transfer payments to the rest of the world 3,5",89.7,87.7
27,Interest payments2,1218.5,1397.6
28,"    To persons and business2",988.0,1118.9
29,"    To the rest of the world",230.5,278.8
30,Subsidies4,102.3,94.2
31,"        Net government saving",-1844.5,-2053.2
32,Social insurance funds,-627.7,-677.1
33,Other,-1216.8,-1376.1
,Addenda:,,
34,"    Total receipts",7557.2,8057.7
35,"        Current receipts",7514.3,8008.3
36,"        Capital transfer receipts",42.9,49.4
37,"    Total expenditures",9779.9,10424.1
38,"        Current expenditures",9358.9,10061.5
39,"        Gross government investment",975.3,1049.3
40,"        Capital transfer payments",197.3,96.6
41,"        Net purchases of nonproduced assets",18.8,20.5
42,"        Less: Consumption of fixed capital",770.3,803.8
43,"    Net lending or net borrowing (-)",-2222.6,-2366.4

Legend/Footnotes
1. Consists primarily of contributions by residents of the U.S. territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.
"2. Prior to 1960, interest payments to persons (line 28) and interest receipts on line 12 are not shown separately, but are included in interest payments (line 27), which is shown net of interest receipts. Interest payments to persons and business includes interest accrued on the actuarial liabilities of defined benefit pension plans for government employees."
"3. Prior to 1999, current transfer payments to the rest of the world (line 26) are displayed net of current transfer receipts from the rest of the world (line 18)."
"4. Prior to 1959, subsidies (line 30) and the current surplus of government enterprises (line 19) are not shown separately; subsidies are presented net of the current surplus of government enterprises."
"5. Prior to 1960, government social benefits to the rest of the world are included in line 26, 'Other current transfer payments to the rest of the world.'"
