Table 3.10.5. Government Consumption Expenditures and General Government Gross Output
Table 3.10.5. Government Consumption Expenditures and General Government Gross Output
"Last Revised on: September 25, 2025 - Next Release Date December 23, 2025"
Line,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Line,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Government consumption expenditures1",1437.6,1538.2,1645.8,1746.4,1851.9,1962.0,2073.0,2198.5,2353.4,2433.4,2511.0,2511.3,2515.4,2530.7,2562.3,2604.0,2653.4,2715.7,2859.7,3012.1,3180.1,3376.4,3563.5,3765.9,3991.8
2,"                Gross output of general government",1720.2,1844.1,1967.9,2085.1,2208.9,2338.7,2469.3,2609.8,2779.8,2873.0,2966.2,2983.7,2993.7,3024.6,3076.3,3140.8,3213.2,3298.5,3470.8,3647.1,3818.4,4079.7,4352.3,4559.0,4818.6
3,"                    Value added",1184.3,1252.6,1328.4,1404.8,1478.7,1555.4,1631.9,1726.9,1821.2,1883.5,1946.1,1972.9,1989.1,2039.7,2089.7,2143.1,2187.9,2247.0,2340.8,2413.4,2498.3,2593.2,2709.0,2881.9,3060.1
4,"                        Compensation of general government employees",934.9,996.6,1065.5,1132.6,1191.8,1248.4,1304.4,1374.8,1445.4,1493.7,1543.9,1553.5,1556.2,1597.6,1636.6,1685.2,1724.4,1769.2,1841.6,1895.7,1963.7,2024.1,2081.0,2219.0,2368.2
5,"                        Consumption of general government fixed capital2",249.4,256.0,262.9,272.2,286.9,307.0,327.6,352.1,375.7,389.8,402.2,419.3,433.0,442.1,453.1,457.9,463.5,477.8,499.1,517.7,534.6,569.2,628.0,662.8,691.9
6,"                    Intermediate goods and services purchased3",535.9,591.5,639.5,680.3,730.2,783.3,837.4,882.9,958.6,989.5,1020.1,1010.8,1004.6,984.9,986.6,997.7,1025.3,1051.5,1130.0,1233.7,1320.1,1486.5,1643.3,1677.1,1758.4
7,"                        Durable goods",44.8,46.3,47.8,49.7,53.1,55.0,59.0,63.9,70.5,75.9,75.6,73.2,72.3,67.2,64.5,65.7,67.6,70.2,74.0,79.7,87.9,93.5,96.1,103.6,112.9
8,"                        Nondurable goods",143.4,153.7,158.0,169.8,188.6,214.8,233.1,251.4,284.2,261.9,275.1,295.6,297.5,298.4,296.8,271.8,269.1,288.8,321.5,336.6,330.2,434.0,547.0,509.2,512.8
9,"                        Services",347.7,391.6,433.7,460.8,488.6,513.5,545.3,567.6,603.9,651.7,669.5,642.0,634.7,619.3,625.3,660.2,688.6,692.6,734.5,817.4,902.1,958.9,1000.2,1064.3,1132.7
