Table 3.12. Government Social Benefits
Table 3.12. Government Social Benefits
"Last Revised on: September 26, 2025"
Line,,2024
,,
1,"            Government social benefits",4490.0
2,To persons,4455.7
3,"    Federal",3315.7
4,"        Benefits from social insurance funds",2613.5
5,"            Social security1",1448.0
6,"            Medicare2",1102.4
7,"            Unemployment insurance",36.5
8,"                State",36.2
9,"                Railroad employees",0.1
10,"                Federal employees",0.2
11,"                Emergency unemployment compensation",0.0
12,"            Railroad retirement",14.5
13,"            Pension benefit guaranty",0.8
14,"            Veterans' life insurance",0.4
15,"            Workers' compensation",3.8
16,"            Military medical insurance3",7.2
17,"        Veterans' benefits",229.4
18,"            Pension and disability",180.5
19,"            Readjustment",11.4
20,"            Other4",37.5
21,"        Supplemental Nutrition Assistance Program (SNAP)5",97.4
22,"        Black lung benefits",0.2
23,"        Supplemental security income",60.0
24,"        Direct relief",---
25,"        Refundable tax credits6",228.8
26,"        Other7",86.4
27,"    State and local",1140.0
28,"        Benefits from social insurance funds",21.2
29,"            Temporary disability insurance",13.1
30,"            Workers' compensation",8.1
31,"        Public assistance",1050.0
32,"            Medical care",954.2
33,"                Medicaid",938.2
34,"                Other medical care8",16.0
35,"            Family assistance9",24.5
36,"            Supplemental security income10",5.2
37,"            General assistance",38.6
38,"            Energy assistance",5.2
39,"            Other11",22.4
40,"        Education",64.5
41,"        Employment and training",1.4
42,"        Other12",2.9
43,To the rest of the world13,34.3

Legend/Footnotes
"1. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
2. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.
3. Consists of payments for medical services for dependents of active duty military personnel at nonmilitary facilities.
"4. Prior to 1965, consists of mustering out pay, terminal leave pay, and adjusted compensation benefits. For 2015 forward, includes reimbursements for health care services received at private facilities."
"5. Prior to October 2008, benefits for the Supplemental Nutrition Assistance Program were called Food Stamp benefits."
6. Includes the amounts by which federal refundable tax credits reduce personal current tax liabilities and liabilities to pay contributions for government social insurance as well as the outlays that are distributed when the amount of federal refundable tax credits exceeds an individual's federal tax liabilities.
"7. Consists largely of payments to nonprofit institutions; aid to students; payments for medical services for retired military personnel and their dependents at nonmilitary facilities; disaster relief; workers' compensation benefits for federal employees (FECA); Payments from the September 11 Victims' Compensation Fund; additional unemployment benefits, COBRA premium subsidies, and one-time payments to recipients of Social Security, SSI, Veterans Pensions, and Railroad Retirement benefits established by the American Recovery and Reinvestment Act of 2009; and health insurance co-payment and cost-sharing benefits established by the Patient Protection and Affordable Care Act."
8. Consists of general medical assistance and state child health care programs.
"9. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996."
"10. Prior to 1974, consists of old-age assistance, aid to the blind, and aid to the permanently and totally disabled, when the programs were partly federally funded."
"11. Consists of expenditures for food under the supplemental program for women, infants, and children; foster care; adoption assistance; and payments to nonprofit welfare institutions."
"12. Consists largely of veterans' benefits, Alaska dividends, and crime-victim payments."
13. Consists of federal government social benefits to the rest of the world and includes benefits paid to individuals in the U.S. territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.
