Table 3.16. Government Current Expenditures by Function
Table 3.16. Government Current Expenditures by Function
"Last Revised on: September 26, 2025"
Line,,2024
,,
1,"            Government1",10061.5
2,General public service,1873.4
3,"    Executive and legislative",192.8
4,"    Tax collection and financial management",114.3
5,"    Interest payments2",1397.6
6,"    Other3",168.7
7,National defense,855.6
8,Public order and safety,519.7
9,"    Police",237.7
10,"    Fire",80.3
11,"    Law courts",80.3
12,"    Prisons",121.4
13,Economic affairs,493.9
14,"    Transportation",262.6
15,"        Highways",202.8
16,"        Air",30.6
17,"        Water",18.2
18,"        Transit and railroad",10.9
19,"    Space",21.2
20,"    Other economic affairs",210.1
21,"        General economic and labor affairs",87.5
22,"        Agriculture",35.4
23,"        Energy",24.1
24,"        Natural resources",64.0
25,"        Postal service",-0.2
26,"        Other4",-0.6
27,Housing and community services,78.5
28,Health,2566.2
29,Recreation and culture,55.1
30,Education,1353.5
31,"    Elementary and secondary",946.2
32,"    Higher",277.4
33,"    Libraries and other",129.9
34,"        Libraries",14.7
35,"        Other",115.2
36,Income security,2265.4
37,"    Disability",368.4
38,"    Retirement5",1328.7
39,"    Welfare and social services",402.3
40,"    Unemployment",36.7
41,"    Other",129.4
42,"            Federal",7053.4
43,General public service,1293.6
44,"    Executive and legislative",137.9
45,"    Tax collection and financial management",36.6
46,"    Interest payments2",1119.1
47,"    Other6",0.0
48,National defense,856.3
49,Public order and safety,82.8
50,"    Police",61.7
51,"    Fire",1.1
52,"    Law courts",9.8
53,"    Prisons",10.2
54,Economic affairs,239.5
55,"    Transportation",61.1
56,"        Highways",1.8
57,"        Air",30.6
58,"        Water",18.4
59,"        Transit and railroad",10.3
60,"    Space",21.2
61,"    Other economic affairs",157.2
62,"        General economic and labor affairs",64.5
63,"        Agriculture",26.9
64,"        Energy",25.2
65,"        Natural resources",40.8
66,"        Postal service",-0.2
67,Housing and community services,87.8
68,Health,2148.8
69,Recreation and culture,7.0
70,Education,172.7
71,"    Elementary and secondary",96.7
72,"    Higher",48.1
73,"    Other",28.0
74,Income security,2164.8
75,"    Disability",344.5
76,"    Retirement5",1328.7
77,"    Welfare and social services",290.0
78,"    Unemployment",41.8
79,"    Other",159.9
80,"            State and local",3969.6
81,General public service,584.2
82,"    Executive and legislative",59.3
83,"    Tax collection and financial management",77.7
84,"    Interest payments",278.5
85,"    Other7",168.7
86,Public order and safety,440.4
87,"    Police",178.9
88,"    Fire",79.2
89,"    Law courts",70.5
90,"    Prisons",111.8
91,Economic affairs,273.8
92,"    Transportation",201.7
93,"        Highways",201.0
94,"        Transit and railroad",0.7
95,"    Other economic affairs",72.1
96,"        General economic and labor affairs",30.7
97,"        Agriculture",10.0
98,"        Energy",0.0
99,"        Natural resources",32.0
100,"        Other4",-0.6
101,Housing and community services8,11.8
102,Health (net),1082.1
103,"    Gross expenditures",1446.6
104,"    Less: Sales to other sectors",364.5
105,Recreation and culture,48.9
106,Education,1273.7
107,"    Elementary and secondary",939.0
108,"    Higher",230.0
109,"    Libraries and other",104.7
110,"        Libraries",14.7
111,"        Other",90.0
112,Income security,254.8
113,"    Disability",26.9
114,"    Welfare and social services",227.8

Legend/Footnotes
1. Equals federal government current expenditures less grants-in-aid to state and local governments plus state and local government current expenditures. Federal grants-in-aid to state and local governments by function are shown in table 3.17.
"2. Prior to 1960, federal interest receipts are not available separately but are included in interest payments, which is shown net of federal interest receipts. Interest payments includes interest accrued on the actuarial liabilities of defined benefit pension plans for government employees."
3. Equals unallocable state and local government expenditures; includes federal government revenue sharing grants to state and local governments beginning with 1972 and ending with 1987.
"4. Consists of state and local government publicly owned liquor store systems, government-administered lotteries and parimutuels, and other commercial activities."
"5. Consists of social insurance funds, including old age, survivors, and disability insurance (social security), and railroad retirement. Excludes government employee retirement plans."
6. Consists primarily of federal government revenue sharing grants to state and local governments beginning with 1972 and ending with 1987.
7. Equals unallocable state and local government expenditures.
"8. Consists of current expenditures for sanitation. Beginning with 2007, includes housing subsidies related to Hurricanes Katrina and Rita."
