11,5,['pain-', 'piti-', 'power-', 'remorse-', 'rest-', 'shame-', 'tact-', 'taste-', 'thank-', 'thought-', 'use-'],['-ful', '-fully', '-less', '-lessly', '-lessness']
11,5,['pain-', 'purpose-', 'rest-', 'shame-', 'soul-', 'tact-', 'taste-', 'thank-', 'thought-', 'tune-', 'use-'],['-ful', '-fully', '-fulness', '-less', '-lessly']
9,5,['ba-', 'ca-', 'fa-', 'fi-', 'ma-', 'pa-', 'si-', 'ta-', 'to-'],['-ll', '-n', '-r', '-re', '-t']
9,5,['objec-', 'obstruc-', 'posi-', 'produc-', 'protec-', 'restric-', 'secre-', 'sugges-', 'transi-'],['-t', '-tion', '-tive', '-tively', '-tiveness']
8,6,['pain-', 'rest-', 'shame-', 'tact-', 'taste-', 'thank-', 'thought-', 'use-'],['-ful', '-fully', '-fulness', '-less', '-lessly', '-lessness']
8,5,['a-', 'ba-', 'ca-', 'i-', 'ma-', 'pa-', 'ta-', 'we-'],['-d', '-ll', '-n', '-re', '-t']
8,5,['b-', 'c-', 'f-', 'm-', 'p-', 'sc-', 'sp-', 't-'],['-an', '-ar', '-are', '-at', '-ore']
8,5,['ba-', 'bu-', 'pi-', 'pu-', 'sha-', 'sta-', 'ta-', 'wi-'],['-ck', '-g', '-ll', '-nk', '-t']
8,5,['ba-', 'ca-', 'fa-', 'ma-', 'pu-', 'spi-', 'ta-', 'to-'],['-ke', '-ll', '-n', '-re', '-t']
8,5,['ba-', 'ha-', 'pu-', 'sha-', 'si-', 'sta-', 'ta-', 'wi-'],['-ck', '-ll', '-nk', '-re', '-t']
8,5,['ba-', 'ma-', 'pa-', 'pu-', 'si-', 'ta-', 'to-', 'we-'],['-ll', '-n', '-re', '-t', '-tter']
8,5,['ba-', 'ma-', 'pa-', 'qui-', 'sha-', 'squa-', 'ta-', 'we-'],['-d', '-ll', '-re', '-t', '-tter']
8,5,['ba-', 'ma-', 'pa-', 'sca-', 'si-', 'spa-', 'ta-', 'to-'],['-n', '-r', '-re', '-t', '-tter']
8,5,['ba-', 'pi-', 'pu-', 'ra-', 'sa-', 'sha-', 'sta-', 'ta-'],['-ck', '-g', '-ke', '-nk', '-t']
8,5,['fi-', 'ma-', 'pu-', 'sha-', 'sta-', 'ta-', 'to-', 'wi-'],['-g', '-le', '-ll', '-re', '-t']
8,5,['neutr-', 'norm-', 'ration-', 're-', 'sentiment-', 'speci-', 'trivi-', 'vit-'],['-al', '-ality', '-alization', '-alize', '-ally']
8,5,['neutra-', 'norma-', 'rationa-', 'rea-', 'sentimenta-', 'specia-', 'trivia-', 'vita-'],['-l', '-lity', '-lization', '-lize', '-lly']
8,5,['push-', 'rac-', 'read-', 'show-', 'sneak-', 'speed-', 'tast-', 'wear-'],['-er', '-ily', '-iness', '-ing', '-y']
7,6,['b-', 'f-', 's-', 'sh-', 'sp-', 't-', 'w-'],['-ake', '-ear', '-ell', '-ill', '-in', '-ore']
7,6,['b-', 'l-', 's-', 'sh-', 'sn-', 'st-', 't-'],['-ack', '-ag', '-ake', '-ore', '-ow', '-uck']
7,6,['l-', 'r-', 's-', 'sh-', 'sl-', 'sn-', 't-'],['-ack', '-ag', '-ake', '-ip', '-ot', '-ow']
7,5,['a-', 'ca-', 'ha-', 'ma-', 'pa-', 'qui-', 'ta-'],['-d', '-ll', '-re', '-rt', '-t']
7,5,['a-', 'ca-', 'hi-', 'pa-', 'qui-', 'sha-', 'we-'],['-d', '-ll', '-nt', '-re', '-t']
7,5,['a-', 'fa-', 'ma-', 'pa-', 'si-', 'spi-', 'to-'],['-ll', '-n', '-re', '-t', '-te']
7,5,['a-', 'ha-', 'ma-', 'pa-', 'qui-', 'sta-', 'to-'],['-ll', '-re', '-rt', '-t', '-te']
7,5,['b-', 'c-', 'f-', 'm-', 'p-', 'st-', 't-'],['-all', '-ar', '-are', '-at', '-ore']
7,5,['b-', 'c-', 'f-', 'm-', 'p-', 't-', 'w-'],['-all', '-an', '-ar', '-are', '-ore']
7,5,['b-', 'c-', 'f-', 'm-', 'sc-', 't-', 'w-'],['-an', '-ar', '-are', '-old', '-ore']
7,5,['b-', 'c-', 'f-', 'm-', 'sh-', 'st-', 't-'],['-ake', '-all', '-are', '-at', '-ore']
7,5,['b-', 'c-', 'f-', 'm-', 'sp-', 'st-', 't-'],['-ake', '-ar', '-are', '-at', '-ore']
7,5,['b-', 'c-', 'f-', 'm-', 'sp-', 't-', 'w-'],['-ake', '-an', '-ar', '-are', '-ore']
7,5,['b-', 'c-', 'f-', 'm-', 'st-', 't-', 'w-'],['-ake', '-all', '-ar', '-are', '-ore']
7,5,['b-', 'c-', 'h-', 'm-', 'p-', 'sh-', 't-'],['-ad', '-all', '-are', '-at', '-op']
7,5,['b-', 'c-', 'm-', 'p-', 'sc-', 't-', 'w-'],['-ad', '-an', '-ar', '-are', '-ore']
7,5,['b-', 'c-', 'm-', 'p-', 'sh-', 'st-', 't-'],['-all', '-are', '-at', '-op', '-ore']
7,5,['b-', 'c-', 'p-', 'sc-', 'sp-', 't-', 'w-'],['-an', '-ar', '-are', '-ent', '-ore']
7,5,['b-', 'f-', 'g-', 'p-', 's-', 't-', 'w-'],['-ear', '-ee', '-ill', '-in', '-ore']
7,5,['b-', 'f-', 'm-', 'p-', 'sh-', 'st-', 't-'],['-all', '-are', '-at', '-ill', '-ore']
7,5,['b-', 'f-', 'm-', 'p-', 'st-', 't-', 'w-'],['-all', '-ar', '-are', '-ill', '-ore']
7,5,['b-', 'f-', 'm-', 'sh-', 'sp-', 'st-', 't-'],['-ake', '-are', '-at', '-ill', '-ore']
7,5,['b-', 'f-', 'm-', 'sh-', 'st-', 't-', 'w-'],['-ake', '-all', '-are', '-ill', '-ore']
7,5,['b-', 'f-', 'm-', 'sp-', 'st-', 't-', 'w-'],['-ake', '-ar', '-are', '-ill', '-ore']
7,5,['b-', 'f-', 'p-', 's-', 'sh-', 'sp-', 't-'],['-at', '-ear', '-ill', '-in', '-ore']
7,5,['b-', 'f-', 'p-', 'sh-', 'sp-', 't-', 'w-'],['-are', '-ear', '-ill', '-in', '-ore']
7,5,['b-', 'f-', 's-', 'sh-', 'sp-', 'sw-', 't-'],['-at', '-ear', '-ell', '-ill', '-ore']
7,5,['b-', 'h-', 'm-', 'p-', 'r-', 's-', 'w-'],['-ad', '-ail', '-ay', '-ill', '-ound']
7,5,['b-', 'h-', 'm-', 'p-', 'sh-', 'st-', 't-'],['-all', '-are', '-at', '-ill', '-op']
7,5,['b-', 'h-', 'p-', 'r-', 's-', 'sh-', 't-'],['-ack', '-ad', '-at', '-ear', '-ill']
7,5,['b-', 'h-', 'r-', 's-', 'sh-', 'sp-', 'sw-'],['-ank', '-at', '-ay', '-ear', '-ill']
7,5,['b-', 'h-', 'r-', 's-', 'sh-', 'st-', 't-'],['-ack', '-ank', '-at', '-ill', '-ow']
7,5,['b-', 'l-', 'r-', 's-', 'sh-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-ay', '-ow']
7,5,['b-', 'm-', 'p-', 's-', 'sh-', 'st-', 'sw-'],['-at', '-ay', '-ill', '-op', '-ore']
7,5,['b-', 'm-', 's-', 'sh-', 'st-', 'sw-', 't-'],['-ag', '-at', '-ill', '-op', '-ore']
7,5,['b-', 'r-', 's-', 'sh-', 'sl-', 'st-', 't-'],['-ack', '-ag', '-ake', '-at', '-ow']
7,5,['ba-', 'bi-', 'ma-', 'pa-', 'ski-', 'ta-', 'we-'],['-d', '-ll', '-n', '-t', '-tter']
7,5,['ba-', 'bi-', 'ma-', 'pi-', 'pu-', 'ta-', 'to-'],['-g', '-ke', '-ll', '-n', '-t']
7,5,['ba-', 'bi-', 'ma-', 'pu-', 'ra-', 'ta-', 'to-'],['-g', '-ke', '-n', '-t', '-tter']
7,5,['ba-', 'bi-', 'ma-', 'pu-', 'sha-', 'ta-', 'to-'],['-g', '-ke', '-ll', '-t', '-tter']
7,5,['ba-', 'bi-', 'ma-', 'pu-', 'ta-', 'to-', 'twi-'],['-g', '-ll', '-n', '-t', '-tter']
