8,5,['ca-', 'co-', 'ha-', 'ma-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
7,5,['b-', 'c-', 'g-', 'h-', 'm-', 'r-', 's-'],['-ad', '-ay', '-ob', '-od', '-um']
7,5,['bo-', 'co-', 'ha-', 'la-', 'ma-', 'ra-', 'sa-'],['-d', '-g', '-p', '-w', '-y']
7,5,['c-', 'g-', 'h-', 'l-', 'm-', 'r-', 's-'],['-ad', '-ap', '-ay', '-ob', '-ot']
7,5,['c-', 'g-', 'h-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-ay', '-od', '-ot']
7,5,['c-', 'h-', 'l-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-aw', '-ay', '-ot']
7,5,['ca-', 'co-', 'ha-', 'ma-', 'pa-', 'ra-', 'sa-'],['-d', '-p', '-t', '-w', '-y']
7,5,['ca-', 'co-', 'ha-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-p', '-t', '-w', '-y']
7,5,['ca-', 'co-', 'ha-', 'ma-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
7,5,['ca-', 'co-', 'ha-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
7,5,['ca-', 'co-', 'he-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-w', '-y']
7,5,['ca-', 'co-', 'ho-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-t', '-w']
7,5,['ca-', 'co-', 'ma-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
7,5,['ca-', 'co-', 'ma-', 'pa-', 'ra-', 'so-', 'to-'],['-n', '-p', '-t', '-w', '-y']
7,5,['ca-', 'ha-', 'ma-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
7,5,['co-', 'ha-', 'ma-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,7,['b-', 'c-', 'h-', 'm-', 'r-', 's-'],['-ad', '-at', '-ay', '-ob', '-od', '-ow', '-um']
6,7,['c-', 'h-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-at', '-aw', '-ay', '-od', '-ot']
6,6,['b-', 'g-', 'h-', 'm-', 'r-', 's-'],['-ad', '-ag', '-ay', '-ob', '-od', '-um']
6,6,['c-', 'h-', 'l-', 'm-', 'p-', 's-'],['-ad', '-ap', '-aw', '-ay', '-op', '-ot']
6,6,['ca-', 'co-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-t', '-w', '-y']
6,6,['g-', 'h-', 'l-', 'm-', 'r-', 's-'],['-ad', '-ag', '-ap', '-ay', '-ob', '-ot']
6,5,['b-', 'c-', 'f-', 'h-', 'm-', 's-'],['-ad', '-at', '-ay', '-ob', '-op']
6,5,['b-', 'c-', 'f-', 'm-', 'p-', 't-'],['-ad', '-an', '-ar', '-at', '-op']
6,5,['b-', 'c-', 'g-', 'h-', 'm-', 'r-'],['-ad', '-ay', '-ob', '-od', '-um']
6,5,['b-', 'c-', 'g-', 'h-', 'm-', 's-'],['-ad', '-ay', '-ob', '-od', '-um']
6,5,['b-', 'c-', 'g-', 'h-', 'r-', 's-'],['-ad', '-ay', '-ob', '-od', '-um']
6,5,['b-', 'c-', 'g-', 'm-', 'r-', 's-'],['-ad', '-ay', '-ob', '-od', '-um']
6,5,['b-', 'c-', 'h-', 'l-', 'm-', 's-'],['-ad', '-ay', '-ob', '-op', '-ow']
6,5,['b-', 'c-', 'h-', 'm-', 'p-', 's-'],['-ad', '-at', '-ay', '-od', '-op']
6,5,['b-', 'c-', 'h-', 'p-', 'r-', 's-'],['-ad', '-at', '-ay', '-od', '-ub']
6,5,['b-', 'f-', 'h-', 'l-', 'm-', 's-'],['-ad', '-ag', '-ay', '-ob', '-op']
6,5,['b-', 'f-', 'h-', 'm-', 'r-', 's-'],['-ad', '-ag', '-at', '-ay', '-ob']
6,5,['b-', 'h-', 'l-', 'm-', 'r-', 's-'],['-ad', '-ag', '-ay', '-ob', '-ow']
6,5,['ba-', 'bu-', 'ca-', 'fa-', 'ma-', 'pa-'],['-d', '-n', '-r', '-t', '-y']
6,5,['ba-', 'bu-', 'co-', 'fa-', 'ma-', 'ra-'],['-d', '-g', '-n', '-t', '-y']
6,5,['bo-', 'co-', 'ha-', 'la-', 'ma-', 'ra-'],['-d', '-g', '-p', '-w', '-y']
6,5,['bo-', 'co-', 'ha-', 'la-', 'ra-', 'sa-'],['-d', '-g', '-p', '-w', '-y']
6,5,['bo-', 'co-', 'ha-', 'ma-', 'ra-', 'sa-'],['-d', '-g', '-p', '-w', '-y']
6,5,['bo-', 'co-', 'la-', 'ma-', 'ra-', 'sa-'],['-d', '-g', '-p', '-w', '-y']
6,5,['bo-', 'ha-', 'la-', 'ma-', 'ra-', 'sa-'],['-d', '-g', '-p', '-w', '-y']
6,5,['bo-', 'he-', 'la-', 'ma-', 'sa-', 'so-'],['-d', '-p', '-w', '-x', '-y']
6,5,['c-', 'g-', 'h-', 'l-', 'm-', 'r-'],['-ad', '-ap', '-ay', '-ob', '-ot']
6,5,['c-', 'g-', 'h-', 'l-', 'm-', 's-'],['-ad', '-ap', '-ay', '-ob', '-ot']
6,5,['c-', 'g-', 'h-', 'l-', 'r-', 's-'],['-ad', '-ap', '-ay', '-ob', '-ot']
6,5,['c-', 'g-', 'h-', 'm-', 'p-', 'r-'],['-ad', '-ap', '-ay', '-od', '-ot']
6,5,['c-', 'g-', 'h-', 'm-', 'p-', 's-'],['-ad', '-ap', '-ay', '-od', '-ot']
6,5,['c-', 'g-', 'h-', 'n-', 'p-', 'r-'],['-ap', '-ay', '-od', '-ot', '-ut']
6,5,['c-', 'g-', 'h-', 'p-', 'r-', 's-'],['-ad', '-ap', '-ay', '-od', '-ot']
6,5,['c-', 'g-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-ay', '-od', '-ot']
6,5,['c-', 'h-', 'l-', 'm-', 'p-', 'r-'],['-ad', '-ap', '-aw', '-ay', '-ot']
6,5,['c-', 'h-', 'l-', 'm-', 's-', 't-'],['-ad', '-ap', '-op', '-ot', '-ow']
6,5,['c-', 'h-', 'l-', 'p-', 'r-', 's-'],['-ad', '-ap', '-aw', '-ay', '-ot']
6,5,['c-', 'h-', 'm-', 'n-', 'r-', 's-'],['-ap', '-ay', '-od', '-ot', '-ow']
6,5,['c-', 'h-', 'm-', 'p-', 's-', 't-'],['-ad', '-ap', '-at', '-op', '-ot']
6,5,['c-', 'h-', 'm-', 'r-', 's-', 't-'],['-ad', '-ap', '-at', '-ot', '-ow']
6,5,['c-', 'h-', 'n-', 'p-', 'r-', 's-'],['-ap', '-ay', '-od', '-ot', '-ub']
6,5,['c-', 'h-', 'p-', 'r-', 's-', 't-'],['-ad', '-ap', '-at', '-ot', '-ub']
