22,6,['art-', 'care-', 'cheer-', 'color-', 'faith-', 'fear-', 'fruit-', 'grace-', 'harm-', 'help-', 'hope-', 'law-', 'meaning-', 'mind-', 'pain-', 'rest-', 'shame-', 'tact-', 'taste-', 'thank-', 'thought-', 'use-'],['-ful', '-fully', '-fulness', '-less', '-lessly', '-lessness']
15,6,['capit-', 'feder-', 'form-', 'glob-', 'ide-', 'individu-', 'industri-', 'materi-', 'nation-', 'natur-', 'neutr-', 'ration-', 're-', 'sentiment-', 'soci-'],['-al', '-alism', '-alist', '-alization', '-alize', '-ally']
15,6,['capita-', 'federa-', 'forma-', 'globa-', 'idea-', 'individua-', 'industria-', 'materia-', 'nationa-', 'natura-', 'neutra-', 'rationa-', 'rea-', 'sentimenta-', 'socia-'],['-l', '-lism', '-list', '-lization', '-lize', '-lly']
11,6,['capital-', 'human-', 'ideal-', 'individual-', 'material-', 'modern-', 'national-', 'natural-', 'rational-', 'real-', 'social-'],['-ism', '-ist', '-istic', '-ization', '-ize', '-ly']
11,6,['fin-', 'form-', 'gener-', 'individu-', 'mor-', 'nation-', 'neutr-', 'ration-', 're-', 'sentiment-', 'speci-'],['-al', '-alist', '-ality', '-alization', '-alize', '-ally']
11,6,['fina-', 'forma-', 'genera-', 'individua-', 'mora-', 'nationa-', 'neutra-', 'rationa-', 'rea-', 'sentimenta-', 'specia-'],['-l', '-list', '-lity', '-lization', '-lize', '-lly']
10,6,['capit-', 'ide-', 'individu-', 'leg-', 'materi-', 'nation-', 'natur-', 'ration-', 're-', 'soci-'],['-al', '-alism', '-alistic', '-alization', '-alize', '-ally']
10,6,['capit-', 'ide-', 'individu-', 'materi-', 'mor-', 'nation-', 'natur-', 'ration-', 're-', 'soci-'],['-al', '-alist', '-alistic', '-alization', '-alize', '-ally']
10,6,['capit-', 'ide-', 'individu-', 'materi-', 'nation-', 'natur-', 'plur-', 'ration-', 're-', 'soci-'],['-al', '-alism', '-alist', '-alistic', '-alization', '-alize']
10,6,['capita-', 'idea-', 'individua-', 'lega-', 'materia-', 'nationa-', 'natura-', 'rationa-', 'rea-', 'socia-'],['-l', '-lism', '-listic', '-lization', '-lize', '-lly']
10,6,['capita-', 'idea-', 'individua-', 'materia-', 'mora-', 'nationa-', 'natura-', 'rationa-', 'rea-', 'socia-'],['-l', '-list', '-listic', '-lization', '-lize', '-lly']
10,6,['capita-', 'idea-', 'individua-', 'materia-', 'nationa-', 'natura-', 'plura-', 'rationa-', 'rea-', 'socia-'],['-l', '-lism', '-list', '-listic', '-lization', '-lize']
10,6,['co-', 'fla-', 'ha-', 'hi-', 'li-', 'po-', 'pu-', 'ra-', 'ta-', 'ti-'],['-ck', '-ke', '-p', '-re', '-t', '-tter']
9,6,['b-', 'br-', 'fl-', 'h-', 'm-', 'r-', 's-', 'sl-', 'st-'],['-ag', '-ake', '-ash', '-at', '-ay', '-ow']
9,6,['b-', 'br-', 'fl-', 'l-', 'm-', 'r-', 's-', 'sl-', 'w-'],['-ag', '-ake', '-ash', '-ay', '-ight', '-ow']
9,6,['ba-', 'co-', 'fla-', 'ha-', 'li-', 'pu-', 'ra-', 'sha-', 'ta-'],['-ck', '-ke', '-nk', '-re', '-t', '-tter']
9,6,['ba-', 'co-', 'fla-', 'ha-', 'pu-', 'ra-', 'sha-', 'sta-', 'ta-'],['-ck', '-g', '-ke', '-nk', '-re', '-t']
9,6,['ba-', 'co-', 'ha-', 'hi-', 'li-', 'po-', 'ra-', 'sha-', 'ta-'],['-ck', '-d', '-ke', '-re', '-t', '-tter']
9,6,['ba-', 'ha-', 'ho-', 'pi-', 'pu-', 'sa-', 'sha-', 'sta-', 'ta-'],['-ck', '-g', '-ke', '-le', '-nk', '-t']
9,6,['ba-', 'ha-', 'ma-', 'po-', 'pu-', 'sha-', 'ta-', 'ti-', 'to-'],['-ke', '-le', '-ll', '-re', '-t', '-tter']
9,6,['br-', 'fl-', 'h-', 'l-', 'r-', 's-', 'sl-', 'st-', 'w-'],['-ag', '-ake', '-ash', '-ay', '-ick', '-ow']
9,6,['chi-', 'clo-', 'co-', 'ha-', 'ho-', 'li-', 'mo-', 'ra-', 'sa-'],['-ck', '-d', '-nk', '-p', '-t', '-ve']
9,6,['co-', 'fla-', 'ha-', 'ho-', 'pi-', 'pu-', 'ra-', 'sa-', 'ta-'],['-ck', '-g', '-ke', '-nk', '-p', '-t']
9,6,['co-', 'ha-', 'hi-', 'li-', 'pa-', 'po-', 'qui-', 'ra-', 'ta-'],['-ck', '-d', '-p', '-re', '-t', '-tter']
9,6,['dr-', 'f-', 'fl-', 'h-', 'm-', 's-', 'sh-', 'sl-', 'st-'],['-ag', '-ake', '-at', '-ay', '-ew', '-op']
9,6,['form-', 'individu-', 'leg-', 'liber-', 'nation-', 'neutr-', 'ration-', 're-', 'sentiment-'],['-al', '-alism', '-ality', '-alization', '-alize', '-ally']
9,6,['forma-', 'individua-', 'lega-', 'libera-', 'nationa-', 'neutra-', 'rationa-', 'rea-', 'sentimenta-'],['-l', '-lism', '-lity', '-lization', '-lize', '-lly']
9,6,['formal-', 'human-', 'individual-', 'modern-', 'national-', 'neutral-', 'rational-', 'real-', 'sentimental-'],['-ism', '-ist', '-ity', '-ization', '-ize', '-ly']
9,6,['ha-', 'hi-', 'pa-', 'po-', 'pu-', 'qui-', 'si-', 'ta-', 'ti-'],['-ck', '-ll', '-p', '-re', '-t', '-tter']
8,7,['b-', 'fl-', 'h-', 'l-', 'r-', 's-', 'sh-', 'st-'],['-ack', '-ag', '-ake', '-ank', '-ay', '-ock', '-ow']
8,7,['b-', 'fl-', 'h-', 'l-', 'r-', 's-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-ash', '-ay', '-ow', '-ung']
8,7,['cl-', 'h-', 'l-', 'p-', 'r-', 's-', 'sl-', 'tr-'],['-ack', '-ap', '-ay', '-ick', '-ip', '-ot', '-ump']
8,6,['actu-', 'equ-', 'feder-', 'gener-', 'individu-', 'leg-', 'liber-', 'loc-'],['-al', '-alization', '-alize', '-ally', '-ate', '-ation']
8,6,['actu-', 'equ-', 'form-', 'gener-', 'individu-', 'leg-', 'liber-', 'loc-'],['-al', '-ality', '-alization', '-alize', '-ally', '-ation']
8,6,['actua-', 'equa-', 'federa-', 'genera-', 'individua-', 'lega-', 'libera-', 'loca-'],['-l', '-lization', '-lize', '-lly', '-te', '-tion']
8,6,['actua-', 'equa-', 'forma-', 'genera-', 'individua-', 'lega-', 'libera-', 'loca-'],['-l', '-lity', '-lization', '-lize', '-lly', '-tion']
8,6,['b-', 'br-', 'fl-', 'h-', 'l-', 'm-', 'r-', 'sl-'],['-ag', '-ake', '-ash', '-ay', '-ow', '-ush']
8,6,['b-', 'br-', 'fl-', 'h-', 'l-', 'r-', 'sh-', 'sl-'],['-ag', '-ake', '-ay', '-ed', '-ow', '-ush']
8,6,['b-', 'br-', 'fl-', 'h-', 'l-', 'r-', 'sl-', 'w-'],['-ag', '-ake', '-ash', '-ay', '-ed', '-ow']
8,6,['b-', 'br-', 'fl-', 'h-', 'm-', 'r-', 'sh-', 'sl-'],['-ag', '-ake', '-at', '-ay', '-ow', '-ush']
8,6,['b-', 'br-', 'h-', 'l-', 'm-', 'r-', 's-', 'w-'],['-ad', '-ag', '-ake', '-ash', '-ay', '-ow']
8,6,['b-', 'c-', 'fl-', 'h-', 'l-', 'm-', 'r-', 'st-'],['-ake', '-ash', '-ay', '-ock', '-ow', '-uff']
8,6,['b-', 'c-', 'fl-', 'h-', 'l-', 'm-', 's-', 'st-'],['-ake', '-ash', '-ay', '-ock', '-op', '-ow']
8,6,['b-', 'c-', 'fl-', 'h-', 'm-', 'r-', 's-', 'st-'],['-ake', '-ash', '-at', '-ay', '-ock', '-ow']
8,6,['b-', 'c-', 'fl-', 'h-', 'm-', 'r-', 'sh-', 'st-'],['-ake', '-are', '-at', '-ay', '-ock', '-ow']
8,6,['b-', 'c-', 'fl-', 'h-', 'm-', 's-', 'sh-', 'st-'],['-ake', '-at', '-ay', '-ock', '-op', '-ow']
8,6,['b-', 'c-', 'fl-', 'h-', 'm-', 's-', 'sl-', 'st-'],['-ake', '-ash', '-at', '-ay', '-op', '-ow']
8,6,['b-', 'c-', 'h-', 'l-', 'm-', 'r-', 's-', 'sh-'],['-ad', '-ake', '-ay', '-ock', '-oot', '-ow']
8,6,['b-', 'cl-', 'd-', 'fl-', 'h-', 'r-', 's-', 'st-'],['-ank', '-ash', '-ay', '-ock', '-ub', '-ung']
8,6,['b-', 'cl-', 'd-', 'h-', 'l-', 'r-', 's-', 'st-'],['-ank', '-ash', '-ay', '-ock', '-ump', '-ung']
8,6,['b-', 'cl-', 'fl-', 'h-', 'l-', 'r-', 's-', 'st-'],['-ack', '-ank', '-ash', '-ay', '-ock', '-ung']
8,6,['b-', 'cr-', 'fl-', 'h-', 'l-', 'r-', 's-', 'st-'],['-ack', '-ag', '-ank', '-ash', '-ock', '-ow']
8,6,['b-', 'cr-', 'fl-', 'h-', 'l-', 's-', 'sh-', 'st-'],['-ack', '-ag', '-ank', '-ock', '-op', '-ow']
8,6,['b-', 'd-', 'f-', 'g-', 'h-', 'p-', 'r-', 's-'],['-ad', '-ang', '-ate', '-ay', '-ear', '-ill']
8,6,['b-', 'dr-', 'f-', 'fl-', 'h-', 's-', 'sl-', 'st-'],['-ag', '-ake', '-at', '-ay', '-op', '-unk']
8,6,['b-', 'dr-', 'f-', 'h-', 'm-', 's-', 'sh-', 'st-'],['-ag', '-ake', '-at', '-ay', '-ill', '-op']
8,6,['b-', 'f-', 'h-', 'm-', 'r-', 's-', 'sh-', 't-'],['-ad', '-ag', '-ake', '-at', '-ill', '-oot']
8,6,['b-', 'fl-', 'h-', 'l-', 'm-', 'r-', 's-', 'st-'],['-ag', '-ake', '-ash', '-ay', '-ock', '-ow']
8,6,['b-', 'fl-', 'h-', 'l-', 'm-', 's-', 'sh-', 'st-'],['-ag', '-ake', '-ay', '-ock', '-op', '-ow']
8,6,['b-', 'fl-', 'h-', 'l-', 'm-', 's-', 'sl-', 'st-'],['-ag', '-ake', '-ash', '-ay', '-op', '-ow']
8,6,['b-', 'fl-', 'h-', 'l-', 's-', 'sh-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-ay', '-op', '-ow']
8,6,['b-', 'fl-', 'h-', 'l-', 's-', 'sh-', 'sl-', 't-'],['-ack', '-ag', '-ake', '-it', '-op', '-ow']
8,6,['b-', 'fl-', 'h-', 'l-', 's-', 'sh-', 'st-', 't-'],['-ack', '-ag', '-ake', '-ank', '-op', '-ow']
8,6,['b-', 'fl-', 'h-', 'm-', 'r-', 's-', 'sh-', 'st-'],['-ag', '-ake', '-at', '-ay', '-ock', '-ow']
8,6,['b-', 'fl-', 'h-', 'm-', 's-', 'sh-', 'sl-', 'st-'],['-ag', '-ake', '-at', '-ay', '-op', '-ow']
8,6,['b-', 'fl-', 'h-', 'r-', 's-', 'sh-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-at', '-ay', '-ow']
8,6,['b-', 'fl-', 'h-', 'r-', 's-', 'sh-', 'st-', 't-'],['-ack', '-ag', '-ake', '-ank', '-at', '-ow']
8,6,['b-', 'fl-', 'h-', 's-', 'sh-', 'sl-', 'st-', 't-'],['-ack', '-ag', '-ake', '-at', '-op', '-ow']
8,6,['b-', 'h-', 'l-', 'm-', 'r-', 's-', 'sl-', 'st-'],['-ag', '-ake', '-ash', '-ate', '-ay', '-ow']
8,6,['ba-', 'bi-', 'ha-', 'ma-', 'pu-', 'sha-', 'ta-', 'to-'],['-g', '-ke', '-le', '-ll', '-t', '-tter']
8,6,['ba-', 'bu-', 'clo-', 'co-', 'ha-', 'ra-', 'sa-', 'sha-'],['-ck', '-d', '-g', '-nk', '-t', '-y']
8,6,['ba-', 'co-', 'fa-', 'fla-', 'ha-', 'ma-', 'ra-', 'to-'],['-g', '-il', '-ke', '-re', '-t', '-y']
8,6,['ba-', 'co-', 'fa-', 'fla-', 'ma-', 'ra-', 'ta-', 'to-'],['-g', '-il', '-ke', '-n', '-re', '-t']
