9,6,['chi-', 'clo-', 'co-', 'ha-', 'ho-', 'li-', 'mo-', 'ra-', 'sa-'],['-ck', '-d', '-nk', '-p', '-t', '-ve']
9,6,['co-', 'fla-', 'ha-', 'ho-', 'pi-', 'pu-', 'ra-', 'sa-', 'ta-'],['-ck', '-g', '-ke', '-nk', '-p', '-t']
9,6,['formal-', 'human-', 'individual-', 'modern-', 'national-', 'neutral-', 'rational-', 'real-', 'sentimental-'],['-ism', '-ist', '-ity', '-ization', '-ize', '-ly']
8,6,['b-', 'd-', 'f-', 'g-', 'h-', 'p-', 'r-', 's-'],['-ad', '-ang', '-ate', '-ay', '-ear', '-ill']
8,6,['ba-', 'co-', 'fa-', 'fla-', 'ha-', 'ma-', 'ra-', 'to-'],['-g', '-il', '-ke', '-re', '-t', '-y']
8,6,['ba-', 'co-', 'fa-', 'fla-', 'ma-', 'ra-', 'ta-', 'to-'],['-g', '-il', '-ke', '-n', '-re', '-t']
8,6,['ba-', 'co-', 'fa-', 'fla-', 'ma-', 'ra-', 'to-', 'wa-'],['-g', '-il', '-ke', '-n', '-re', '-y']
8,6,['ba-', 'fla-', 'ha-', 'jo-', 'ra-', 'sa-', 'sla-', 'sta-'],['-ck', '-g', '-ke', '-sh', '-t', '-y']
8,6,['ca-', 'co-', 'fla-', 'ma-', 'pa-', 'ra-', 'so-', 'to-'],['-n', '-p', '-re', '-t', '-w', '-y']
8,6,['clo-', 'co-', 'ha-', 'ho-', 'la-', 'ra-', 'ri-', 'sa-'],['-ck', '-d', '-g', '-nk', '-p', '-ve']
8,6,['co-', 'fla-', 'ha-', 'ma-', 'pa-', 'ra-', 'so-', 'to-'],['-il', '-p', '-re', '-t', '-w', '-y']
8,6,['co-', 'fla-', 'ha-', 'ma-', 'ra-', 'sa-', 'sla-', 'to-'],['-g', '-ke', '-p', '-t', '-w', '-y']
8,6,['co-', 'ha-', 'hi-', 'li-', 'mo-', 'pa-', 'ra-', 'sho-'],['-ck', '-d', '-p', '-re', '-t', '-ve']
8,6,['co-', 'ha-', 'la-', 'li-', 'mo-', 'ra-', 'ri-', 'sa-'],['-ck', '-d', '-nk', '-p', '-te', '-ve']
7,8,['b-', 'c-', 'fl-', 'h-', 'm-', 'r-', 'st-'],['-ake', '-are', '-ash', '-at', '-ay', '-ock', '-ow', '-uff']
7,8,['b-', 'c-', 'h-', 'l-', 'm-', 'r-', 's-'],['-ad', '-ake', '-ash', '-ay', '-ob', '-ock', '-oot', '-ow']
7,7,['b-', 'cl-', 'd-', 'h-', 'p-', 'r-', 's-'],['-ad', '-ang', '-ay', '-ear', '-ock', '-ub', '-ump']
7,7,['b-', 'd-', 'h-', 'm-', 'p-', 'r-', 'st-'],['-are', '-ate', '-ay', '-ill', '-ock', '-ole', '-uff']
7,7,['b-', 'f-', 'h-', 'l-', 'm-', 'r-', 's-'],['-ad', '-ag', '-ake', '-ate', '-ay', '-ob', '-oot']
7,7,['b-', 'f-', 'h-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ail', '-at', '-ate', '-ay', '-ill', '-ound']
7,7,['b-', 'f-', 'h-', 'm-', 'r-', 's-', 't-'],['-ad', '-ag', '-ail', '-ake', '-at', '-ill', '-oot']
7,7,['b-', 'f-', 'h-', 'm-', 'r-', 's-', 'w-'],['-ad', '-ag', '-ail', '-ake', '-ay', '-ill', '-ound']
7,7,['b-', 'f-', 'l-', 'm-', 'r-', 's-', 't-'],['-ad', '-ag', '-ake', '-end', '-ender', '-ight', '-oot']
7,7,['b-', 'f-', 'm-', 'p-', 'r-', 't-', 'w-'],['-ad', '-ail', '-an', '-are', '-end', '-ile', '-ill']
7,7,['b-', 'f-', 'm-', 'r-', 's-', 't-', 'w-'],['-ad', '-ag', '-ail', '-ake', '-end', '-ight', '-ill']
7,7,['ba-', 'co-', 'fa-', 'ha-', 'ma-', 'ra-', 'sa-'],['-d', '-g', '-il', '-ke', '-t', '-te', '-y']
7,7,['ba-', 'co-', 'fla-', 'ha-', 'pu-', 'ra-', 'ta-'],['-ck', '-g', '-ke', '-nk', '-re', '-t', '-tter']
7,7,['ba-', 'co-', 'fla-', 'pu-', 'ra-', 'sha-', 'ta-'],['-ck', '-g', '-ke', '-nk', '-re', '-t', '-tter']
7,7,['cl-', 'd-', 'h-', 'p-', 'r-', 's-', 't-'],['-ad', '-ang', '-ear', '-ick', '-ip', '-ot', '-ub']
7,7,['co-', 'fla-', 'ha-', 'li-', 'pu-', 'ra-', 'ta-'],['-ck', '-ke', '-nk', '-p', '-re', '-t', '-tter']
7,7,['co-', 'fla-', 'ha-', 'ma-', 'ra-', 'ta-', 'to-'],['-g', '-il', '-ke', '-p', '-re', '-t', '-tter']
7,7,['co-', 'fla-', 'ma-', 'pu-', 'ra-', 'ta-', 'to-'],['-g', '-ke', '-n', '-p', '-re', '-t', '-tter']
7,7,['co-', 'ha-', 'hi-', 'li-', 'po-', 'ra-', 'ta-'],['-ck', '-d', '-ke', '-p', '-re', '-t', '-tter']
7,7,['co-', 'ha-', 'mo-', 'pa-', 'ra-', 'ro-', 'sa-'],['-ck', '-d', '-il', '-t', '-te', '-ve', '-w']
7,7,['cu-', 'ha-', 'ma-', 'pa-', 'po-', 'qui-', 'ta-'],['-d', '-ll', '-p', '-re', '-rt', '-t', '-tter']
7,7,['form-', 'individu-', 'nation-', 'neutr-', 'ration-', 're-', 'sentiment-'],['-al', '-alism', '-alist', '-ality', '-alization', '-alize', '-ally']
7,7,['forma-', 'individua-', 'nationa-', 'neutra-', 'rationa-', 'rea-', 'sentimenta-'],['-l', '-lism', '-list', '-lity', '-lization', '-lize', '-lly']
7,7,['ha-', 'ma-', 'po-', 'pu-', 'ta-', 'ti-', 'to-'],['-ke', '-le', '-ll', '-p', '-re', '-t', '-tter']
7,6,['b-', 'c-', 'd-', 'fl-', 'h-', 'r-', 'st-'],['-are', '-ash', '-ay', '-ock', '-ub', '-uff']
7,6,['b-', 'c-', 'f-', 'h-', 'l-', 'm-', 's-'],['-ad', '-ake', '-ay', '-ob', '-oot', '-op']
7,6,['b-', 'c-', 'f-', 'h-', 'm-', 'r-', 's-'],['-ad', '-ake', '-at', '-ay', '-ob', '-oot']
7,6,['b-', 'c-', 'f-', 'h-', 'm-', 's-', 't-'],['-ad', '-ake', '-at', '-old', '-oot', '-op']
7,6,['b-', 'c-', 'f-', 'm-', 'p-', 'sh-', 'st-'],['-all', '-are', '-at', '-ay', '-op', '-ore']
7,6,['b-', 'c-', 'f-', 'm-', 'p-', 'sh-', 't-'],['-ad', '-all', '-are', '-at', '-op', '-ore']
7,6,['b-', 'c-', 'fl-', 'h-', 'm-', 'p-', 'st-'],['-are', '-at', '-ay', '-ock', '-op', '-uff']
7,6,['b-', 'c-', 'fl-', 'h-', 'm-', 'r-', 's-'],['-ake', '-ash', '-at', '-ay', '-ock', '-ow']
7,6,['b-', 'c-', 'fl-', 'h-', 'm-', 'sl-', 'st-'],['-ake', '-ash', '-at', '-ay', '-op', '-ow']
7,6,['b-', 'c-', 'fl-', 'h-', 'p-', 'r-', 'st-'],['-are', '-at', '-ay', '-ock', '-ub', '-uff']
7,6,['b-', 'c-', 'fl-', 'm-', 'p-', 'sh-', 'st-'],['-are', '-at', '-ay', '-ock', '-op', '-utter']
7,6,['b-', 'c-', 'fl-', 'm-', 'r-', 'sh-', 'st-'],['-ake', '-are', '-at', '-ay', '-ock', '-ow']
7,6,['b-', 'c-', 'g-', 'h-', 'm-', 'r-', 's-'],['-ad', '-ash', '-ay', '-ob', '-od', '-um']
7,6,['b-', 'c-', 'h-', 'l-', 'm-', 'r-', 'st-'],['-ake', '-ash', '-ay', '-ock', '-ow', '-uff']
7,6,['b-', 'c-', 'h-', 'm-', 'pl-', 'r-', 's-'],['-ash', '-at', '-ay', '-od', '-ow', '-um']
7,6,['b-', 'cl-', 'd-', 'fl-', 'h-', 'r-', 's-'],['-ank', '-ash', '-ay', '-ock', '-ub', '-ung']
7,6,['b-', 'cl-', 'd-', 'fl-', 'h-', 'r-', 'st-'],['-ank', '-ash', '-ay', '-ock', '-ub', '-ung']
7,6,['b-', 'd-', 'f-', 'g-', 'p-', 's-', 't-'],['-ad', '-ang', '-ear', '-ill', '-in', '-un']
7,6,['b-', 'd-', 'g-', 'p-', 'r-', 's-', 't-'],['-ad', '-ang', '-ear', '-ent', '-ill', '-un']
7,6,['b-', 'd-', 'g-', 'p-', 's-', 't-', 'w-'],['-ad', '-ale', '-ear', '-ent', '-ill', '-in']
7,6,['b-', 'd-', 'h-', 'l-', 'm-', 'p-', 'r-'],['-ad', '-ate', '-ay', '-ock', '-uff', '-ug']
7,6,['b-', 'd-', 'h-', 'l-', 'm-', 'r-', 'st-'],['-ash', '-ate', '-ay', '-ead', '-ock', '-uff']
7,6,['b-', 'd-', 'h-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ate', '-ay', '-ill', '-ock', '-ole']
7,6,['b-', 'd-', 'h-', 'p-', 'r-', 's-', 't-'],['-ad', '-ang', '-ear', '-ill', '-ole', '-ub']
7,6,['b-', 'f-', 'g-', 'h-', 'm-', 'r-', 's-'],['-ad', '-ag', '-ate', '-ay', '-ill', '-ob']
7,6,['b-', 'f-', 'g-', 'l-', 'm-', 'r-', 's-'],['-ad', '-ag', '-ate', '-ay', '-ender', '-ob']
7,6,['b-', 'f-', 'g-', 'p-', 's-', 't-', 'w-'],['-ad', '-ear', '-ee', '-ill', '-in', '-ore']
7,6,['b-', 'f-', 'g-', 'p-', 'sh-', 't-', 'w-'],['-ad', '-all', '-ear', '-ill', '-in', '-ore']
7,6,['b-', 'f-', 'gr-', 'h-', 'm-', 'p-', 's-'],['-ad', '-ate', '-ay', '-eat', '-ill', '-ound']
7,6,['b-', 'f-', 'h-', 'm-', 'p-', 'r-', 'w-'],['-ad', '-ail', '-are', '-ay', '-ill', '-ound']
7,6,['b-', 'f-', 'h-', 'm-', 'r-', 't-', 'w-'],['-ad', '-ag', '-ail', '-ake', '-are', '-ill']
7,6,['b-', 'f-', 'h-', 'm-', 's-', 't-', 'w-'],['-ad', '-ag', '-ail', '-ake', '-ill', '-old']
7,6,['b-', 'f-', 'h-', 'p-', 'r-', 's-', 't-'],['-ad', '-ail', '-ang', '-at', '-ear', '-ill']
7,6,['b-', 'f-', 'h-', 'p-', 'r-', 's-', 'w-'],['-ad', '-ail', '-ay', '-ear', '-ill', '-ound']
7,6,['b-', 'f-', 'h-', 'qu-', 's-', 't-', 'w-'],['-ad', '-ail', '-ake', '-ell', '-ill', '-it']
7,6,['b-', 'f-', 'h-', 'r-', 's-', 't-', 'w-'],['-ad', '-ag', '-ail', '-ake', '-ear', '-ill']
7,6,['b-', 'f-', 'l-', 'm-', 'r-', 's-', 'w-'],['-ad', '-ag', '-ake', '-ay', '-end', '-ight']
7,6,['b-', 'f-', 'l-', 'm-', 's-', 't-', 'w-'],['-ad', '-ag', '-ake', '-end', '-ight', '-ore']
7,6,['b-', 'f-', 'm-', 'p-', 'r-', 's-', 'w-'],['-ad', '-ail', '-ay', '-end', '-ill', '-ound']
7,6,['b-', 'fl-', 'h-', 'm-', 'r-', 's-', 'w-'],['-ag', '-ail', '-ake', '-ash', '-ay', '-ow']
7,6,['b-', 'fl-', 'h-', 'm-', 'r-', 'sl-', 'st-'],['-ag', '-ake', '-ash', '-at', '-ay', '-ow']
7,6,['b-', 'fl-', 'h-', 'm-', 'r-', 'st-', 'w-'],['-ag', '-ake', '-are', '-ash', '-ay', '-ow']
7,6,['b-', 'g-', 'h-', 'l-', 'm-', 'r-', 's-'],['-ad', '-ag', '-ash', '-ate', '-ay', '-ob']
7,6,['b-', 'h-', 'l-', 'm-', 'r-', 's-', 'w-'],['-ad', '-ag', '-ake', '-ash', '-ay', '-ow']
7,6,['b-', 'h-', 'm-', 'qu-', 'r-', 's-', 'w-'],['-ad', '-ail', '-ake', '-ash', '-ay', '-ill']
7,6,['b-', 'h-', 'm-', 'r-', 's-', 't-', 'w-'],['-ad', '-ag', '-ail', '-ake', '-ill', '-ow']
7,6,['b-', 'l-', 'm-', 'r-', 's-', 't-', 'w-'],['-ad', '-ag', '-ake', '-end', '-ight', '-ow']
7,6,['ba-', 'bi-', 'ma-', 'pi-', 'pu-', 'ta-', 'to-'],['-g', '-ke', '-le', '-ll', '-n', '-t']
7,6,['ba-', 'bo-', 'fi-', 'ha-', 'sta-', 'wa-', 'wi-'],['-g', '-le', '-ll', '-nd', '-re', '-sh']
7,6,['ba-', 'bu-', 'ca-', 'fa-', 'ma-', 'pa-', 'wa-'],['-d', '-ll', '-n', '-r', '-st', '-y']
7,6,['ba-', 'bu-', 'ca-', 'fe-', 'ma-', 'pa-', 'wa-'],['-d', '-ll', '-n', '-st', '-tch', '-y']
7,6,['ba-', 'bu-', 'clo-', 'co-', 'ha-', 'ra-', 'sa-'],['-ck', '-d', '-g', '-nk', '-t', '-y']
7,6,['ba-', 'bu-', 'clo-', 'co-', 'ra-', 'sa-', 'sha-'],['-ck', '-d', '-g', '-nk', '-t', '-y']
7,6,['ba-', 'bu-', 'fla-', 'ha-', 'ra-', 'sa-', 'sta-'],['-ck', '-g', '-nk', '-sh', '-t', '-y']
7,6,['ba-', 'co-', 'fa-', 'ha-', 'ma-', 'ra-', 'ta-'],['-d', '-g', '-il', '-ke', '-re', '-t']
7,6,['ba-', 'co-', 'fa-', 'ha-', 'ma-', 'ra-', 'wa-'],['-d', '-g', '-il', '-ke', '-re', '-y']
7,6,['ba-', 'co-', 'fa-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-il', '-n', '-re', '-t', '-y']
7,6,['ba-', 'co-', 'fa-', 'ma-', 'ra-', 'ta-', 'wa-'],['-d', '-g', '-il', '-ke', '-n', '-re']
7,6,['ba-', 'co-', 'fla-', 'ha-', 'pu-', 'ra-', 'sta-'],['-ck', '-g', '-ke', '-nk', '-re', '-t']
7,6,['ba-', 'co-', 'fla-', 'ha-', 'ra-', 'sa-', 'sta-'],['-ck', '-g', '-ke', '-nk', '-t', '-y']
7,6,['ba-', 'co-', 'fla-', 'ha-', 'ra-', 'sa-', 'ta-'],['-ck', '-g', '-il', '-ke', '-nk', '-t']
7,6,['ba-', 'co-', 'fla-', 'pu-', 'ra-', 'sha-', 'sta-'],['-ck', '-g', '-ke', '-nk', '-re', '-t']
7,6,['ba-', 'co-', 'fla-', 'ra-', 'sa-', 'sha-', 'sta-'],['-ck', '-g', '-ke', '-nk', '-t', '-y']
7,6,['ba-', 'co-', 'ha-', 'ho-', 'ra-', 'sa-', 'ta-'],['-ck', '-d', '-g', '-ke', '-nk', '-t']
7,6,['ba-', 'co-', 'ha-', 'la-', 'ra-', 'sa-', 'sta-'],['-ck', '-g', '-ke', '-nk', '-te', '-y']
7,6,['ba-', 'co-', 'ho-', 'ra-', 'sa-', 'sha-', 'ta-'],['-ck', '-d', '-g', '-ke', '-nk', '-t']
7,6,['ba-', 'fi-', 'ha-', 'ma-', 'pu-', 'sta-', 'wi-'],['-g', '-le', '-ll', '-re', '-sh', '-t']
7,6,['ba-', 'fi-', 'ha-', 'mo-', 'pu-', 'sta-', 'wi-'],['-le', '-ll', '-nk', '-re', '-sh', '-t']
7,6,['ba-', 'fi-', 'ma-', 'pu-', 'ta-', 'to-', 'wi-'],['-g', '-le', '-ll', '-n', '-re', '-t']
7,6,['ba-', 'fla-', 'ha-', 'pu-', 'ra-', 'sa-', 'sta-'],['-ck', '-g', '-ke', '-nk', '-sh', '-t']
7,6,['ba-', 'fla-', 'ha-', 'pu-', 'ra-', 'sta-', 'wi-'],['-ck', '-g', '-nk', '-re', '-sh', '-t']
7,6,['ba-', 'ha-', 'ho-', 'pi-', 'pu-', 'sa-', 'sta-'],['-ck', '-g', '-ke', '-le', '-nk', '-t']
7,6,['ba-', 'ha-', 'ho-', 'pi-', 'pu-', 'sa-', 'ta-'],['-ck', '-g', '-ke', '-le', '-nk', '-t']
7,6,['ba-', 'ha-', 'mo-', 'po-', 'pu-', 'sta-', 'wi-'],['-ck', '-le', '-ll', '-re', '-sh', '-t']
7,6,['ba-', 'ho-', 'pi-', 'pu-', 'sa-', 'sha-', 'sta-'],['-ck', '-g', '-ke', '-le', '-nk', '-t']
7,6,['ba-', 'ho-', 'pi-', 'pu-', 'sa-', 'sha-', 'ta-'],['-ck', '-g', '-ke', '-le', '-nk', '-t']
7,6,['bo-', 'cla-', 'ha-', 'pa-', 'ra-', 'sa-', 'so-'],['-ck', '-d', '-ng', '-p', '-w', '-y']
7,6,['bo-', 'co-', 'fla-', 'ha-', 'ma-', 'ra-', 'to-'],['-g', '-il', '-p', '-re', '-w', '-y']
7,6,['bo-', 'co-', 'fla-', 'ha-', 'pa-', 'ra-', 'so-'],['-ck', '-il', '-p', '-re', '-w', '-y']
7,6,['bo-', 'co-', 'ha-', 'he-', 'pa-', 'ra-', 'so-'],['-ck', '-d', '-p', '-re', '-w', '-y']
7,6,['bo-', 'co-', 'ha-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-il', '-p', '-re', '-w', '-y']
7,6,['bo-', 'co-', 'ha-', 'mo-', 'pa-', 'ra-', 'so-'],['-ck', '-d', '-il', '-p', '-re', '-w']
7,6,['bo-', 'co-', 'ha-', 'pa-', 'ra-', 'sa-', 'so-'],['-ck', '-d', '-il', '-p', '-w', '-y']
