11,9,['aden-', 'arthr-', 'enter-', 'gastr-', 'gloss-', 'hepat-', 'metr-', 'neur-', 'ophthalm-', 'oste-', 'splen-'],['-algia', '-ectomy', '-itis', '-ocele', '-odynia', '-ography', '-ology', '-opathy', '-otomy']
11,9,['aden-', 'arthr-', 'enter-', 'gastr-', 'hepat-', 'metr-', 'neur-', 'odont-', 'oste-', 'proct-', 'splen-'],['-algia', '-ectomy', '-itis', '-odynia', '-ogenous', '-ography', '-ology', '-opathy', '-otomy']
11,9,['arthr-', 'chondr-', 'enter-', 'gastr-', 'gloss-', 'metr-', 'neur-', 'odont-', 'ophthalm-', 'oste-', 'proct-'],['-algia', '-ectomy', '-itis', '-odynia', '-ography', '-ology', '-opathy', '-oplasty', '-otomy']
10,9,['aden-', 'arthr-', 'enter-', 'gastr-', 'hepat-', 'metr-', 'nephr-', 'neur-', 'oste-', 'splen-'],['-algia', '-ectomy', '-itis', '-ocele', '-ogenous', '-ography', '-ology', '-opathy', '-otomy']
10,9,['aden-', 'chondr-', 'desm-', 'encephal-', 'hepat-', 'nephr-', 'neur-', 'odont-', 'oste-', 'splen-'],['-algia', '-itis', '-ography', '-oid', '-ology', '-oma', '-opathy', '-osis', '-otomy']
10,9,['arthr-', 'cardi-', 'enter-', 'gastr-', 'gloss-', 'hyster-', 'metr-', 'neur-', 'ophthalm-', 'oste-'],['-algia', '-ectomy', '-ocele', '-odynia', '-ography', '-ology', '-opathy', '-oplasty', '-otomy']
9,10,['aden-', 'arthr-', 'enter-', 'gastr-', 'hepat-', 'metr-', 'neur-', 'oste-', 'splen-'],['-algia', '-ectomy', '-itis', '-ocele', '-odynia', '-ogenous', '-ography', '-ology', '-opathy', '-otomy']
9,10,['aden-', 'chondr-', 'desm-', 'encephal-', 'hepat-', 'neur-', 'odont-', 'oste-', 'splen-'],['-algia', '-itis', '-odynia', '-ography', '-oid', '-ology', '-oma', '-opathy', '-osis', '-otomy']
9,9,['aden-', 'arthr-', 'cardi-', 'enter-', 'gastr-', 'gloss-', 'hepat-', 'neur-', 'oste-'],['-algia', '-ectomy', '-ocele', '-odynia', '-ography', '-ology', '-opathies', '-opathy', '-otomy']
9,9,['aden-', 'arthr-', 'chondr-', 'gastr-', 'hepat-', 'neur-', 'odont-', 'oste-', 'splen-'],['-algia', '-ectomy', '-itis', '-odynia', '-ography', '-ology', '-opathy', '-osis', '-otomy']
9,9,['aden-', 'arthr-', 'desm-', 'gastr-', 'hepat-', 'neur-', 'odont-', 'oste-', 'splen-'],['-algia', '-itis', '-odynia', '-ogenous', '-ography', '-ology', '-opathy', '-osis', '-otomy']
9,9,['aden-', 'arthr-', 'encephal-', 'enter-', 'gastr-', 'gloss-', 'hepat-', 'neur-', 'oste-'],['-algia', '-itis', '-ocele', '-odynia', '-ography', '-ology', '-opathies', '-opathy', '-otomy']
9,9,['aden-', 'arthr-', 'gastr-', 'hepat-', 'nephr-', 'neur-', 'odont-', 'oste-', 'splen-'],['-algia', '-ectomy', '-itis', '-ogenous', '-ography', '-ology', '-opathy', '-osis', '-otomy']
9,9,['aden-', 'cardi-', 'gastr-', 'hepat-', 'metr-', 'neur-', 'ophthalm-', 'oste-', 'splen-'],['-algia', '-ectomy', '-ocele', '-odynia', '-ography', '-ology', '-omalacia', '-opathy', '-otomy']
9,9,['aden-', 'chondr-', 'encephal-', 'gastr-', 'hepat-', 'neur-', 'oste-', 'splen-', 'stomat-'],['-algia', '-itis', '-odynia', '-ography', '-ology', '-omalacia', '-opathy', '-osis', '-otomy']
9,9,['aden-', 'chondr-', 'encephal-', 'hepat-', 'myel-', 'nephr-', 'neur-', 'oste-', 'splen-'],['-algia', '-itis', '-ography', '-oid', '-oma', '-omalacia', '-opathy', '-osis', '-otomy']
9,9,['aden-', 'chondr-', 'encephal-', 'hepat-', 'nephr-', 'neur-', 'onych-', 'oste-', 'splen-'],['-algia', '-itis', '-oid', '-ology', '-oma', '-omalacia', '-opathy', '-osis', '-otomy']
9,9,['aden-', 'chondr-', 'gastr-', 'hepat-', 'metr-', 'neur-', 'ophthalm-', 'oste-', 'splen-'],['-algia', '-ectomy', '-itis', '-odynia', '-ography', '-ology', '-omalacia', '-opathy', '-otomy']
9,9,['aden-', 'chondr-', 'hepat-', 'kerat-', 'nephr-', 'neur-', 'onych-', 'oste-', 'splen-'],['-algia', '-ectomy', '-itis', '-oid', '-oma', '-omalacia', '-opathy', '-osis', '-otomy']
