9,7,['capit-', 'ide-', 'individu-', 'materi-', 'nation-', 'natur-', 'ration-', 're-', 'soci-'],['-al', '-alism', '-alist', '-alistic', '-alization', '-alize', '-ally']
9,7,['capita-', 'idea-', 'individua-', 'materia-', 'nationa-', 'natura-', 'rationa-', 'rea-', 'socia-'],['-l', '-lism', '-list', '-listic', '-lization', '-lize', '-lly']
8,7,['ba-', 'co-', 'fla-', 'ha-', 'pu-', 'ra-', 'sha-', 'ta-'],['-ck', '-g', '-ke', '-nk', '-re', '-t', '-tter']
7,9,['b-', 'fl-', 'h-', 'l-', 'r-', 's-', 'st-'],['-ack', '-ag', '-ake', '-ank', '-ash', '-ay', '-ock', '-ow', '-ung']
7,9,['b-', 'h-', 'l-', 'r-', 's-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-ash', '-ate', '-ay', '-ow', '-ump', '-ung']
7,8,['b-', 'c-', 'fl-', 'h-', 'm-', 'r-', 'st-'],['-ake', '-are', '-ash', '-at', '-ay', '-ock', '-ow', '-uff']
7,8,['b-', 'c-', 'h-', 'l-', 'm-', 'r-', 's-'],['-ad', '-ake', '-ash', '-ay', '-ob', '-ock', '-oot', '-ow']
7,8,['b-', 'c-', 'h-', 'm-', 'r-', 's-', 'sh-'],['-ad', '-ake', '-at', '-ay', '-ock', '-od', '-oot', '-ow']
7,8,['b-', 'fl-', 'h-', 'l-', 's-', 'sh-', 'st-'],['-ack', '-ag', '-ake', '-ank', '-ay', '-ock', '-op', '-ow']
7,8,['b-', 'fl-', 'h-', 'l-', 's-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-ash', '-ay', '-op', '-ow', '-ung']
7,8,['b-', 'fl-', 'h-', 'r-', 's-', 'sh-', 'st-'],['-ack', '-ag', '-ake', '-ank', '-at', '-ay', '-ock', '-ow']
7,8,['b-', 'fl-', 'h-', 'r-', 's-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-ash', '-at', '-ay', '-ow', '-ung']
7,8,['br-', 'l-', 'r-', 's-', 'sl-', 'st-', 'w-'],['-ag', '-ake', '-ash', '-ave', '-ay', '-ick', '-ink', '-ow']
7,8,['c-', 'h-', 'l-', 'm-', 'r-', 's-', 'sl-'],['-ake', '-ap', '-ash', '-aw', '-ay', '-ob', '-ot', '-ow']
7,8,['cl-', 'fl-', 'h-', 'l-', 'r-', 's-', 'sl-'],['-ack', '-ap', '-ash', '-aw', '-ay', '-ick', '-ip', '-ung']
7,8,['cl-', 'h-', 'l-', 'p-', 'r-', 's-', 'sl-'],['-ack', '-ap', '-aw', '-ay', '-ick', '-ip', '-ot', '-ump']
7,8,['cl-', 'h-', 'l-', 'r-', 's-', 'sl-', 'tr-'],['-ack', '-ap', '-ash', '-ay', '-ick', '-ip', '-ot', '-ump']
7,8,['fl-', 'h-', 'l-', 'r-', 's-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-ash', '-ay', '-ick', '-ow', '-ung']
7,7,['actu-', 'equ-', 'gener-', 'individu-', 'leg-', 'liber-', 'loc-'],['-al', '-ality', '-alization', '-alize', '-ally', '-ate', '-ation']
7,7,['actua-', 'equa-', 'genera-', 'individua-', 'lega-', 'libera-', 'loca-'],['-l', '-lity', '-lization', '-lize', '-lly', '-te', '-tion']
7,7,['b-', 'br-', 'fl-', 'h-', 'l-', 'r-', 'sl-'],['-ag', '-ake', '-ash', '-ay', '-ed', '-ow', '-ush']
7,7,['b-', 'br-', 'fl-', 'h-', 'm-', 'r-', 'sl-'],['-ag', '-ake', '-ash', '-at', '-ay', '-ow', '-ush']
7,7,['b-', 'br-', 'fl-', 'h-', 'r-', 'sh-', 'sl-'],['-ag', '-ake', '-at', '-ay', '-ed', '-ow', '-ush']
7,7,['b-', 'br-', 'fl-', 'l-', 'm-', 'r-', 'sl-'],['-ag', '-ake', '-ash', '-ay', '-ight', '-ow', '-ush']
7,7,['b-', 'br-', 'fl-', 'l-', 'r-', 'sl-', 'w-'],['-ag', '-ake', '-ash', '-ay', '-ed', '-ight', '-ow']
7,7,['b-', 'br-', 'fl-', 'm-', 'r-', 's-', 'sl-'],['-ag', '-ake', '-ash', '-at', '-ay', '-ight', '-ow']
7,7,['b-', 'br-', 'l-', 'm-', 'r-', 's-', 'w-'],['-ad', '-ag', '-ake', '-ash', '-ay', '-ight', '-ow']
7,7,['b-', 'c-', 'f-', 'h-', 'm-', 'sh-', 't-'],['-ad', '-ake', '-all', '-are', '-at', '-oot', '-op']
7,7,['b-', 'c-', 'fl-', 'h-', 'l-', 'm-', 'st-'],['-ake', '-ash', '-ay', '-ock', '-op', '-ow', '-uff']
7,7,['b-', 'c-', 'fl-', 'h-', 'm-', 's-', 'st-'],['-ake', '-ash', '-at', '-ay', '-ock', '-op', '-ow']
7,7,['b-', 'c-', 'fl-', 'h-', 'm-', 'sh-', 'st-'],['-ake', '-are', '-at', '-ay', '-ock', '-op', '-ow']
7,7,['b-', 'c-', 'fl-', 'h-', 'r-', 's-', 'st-'],['-ake', '-ash', '-at', '-ay', '-ock', '-ow', '-ub']
7,7,['b-', 'c-', 'h-', 'l-', 'm-', 's-', 'sh-'],['-ad', '-ake', '-ay', '-ock', '-oot', '-op', '-ow']
7,7,['b-', 'c-', 'h-', 'm-', 'r-', 's-', 'sl-'],['-ake', '-ash', '-at', '-ay', '-ob', '-ow', '-um']
7,7,['b-', 'c-', 'l-', 'm-', 'r-', 's-', 'sh-'],['-ad', '-ake', '-ay', '-ock', '-oot', '-ow', '-ower']
7,7,['b-', 'c-', 'l-', 'm-', 's-', 'sh-', 't-'],['-ad', '-ake', '-oot', '-op', '-ore', '-ow', '-ower']
7,7,['b-', 'ch-', 'f-', 'm-', 'p-', 'st-', 't-'],['-ar', '-at', '-ile', '-ill', '-op', '-ore', '-uck']
7,7,['b-', 'ch-', 'f-', 'p-', 's-', 'sh-', 't-'],['-at', '-ill', '-in', '-it', '-op', '-ore', '-uck']
7,7,['b-', 'cl-', 'd-', 'fl-', 'h-', 's-', 'st-'],['-ank', '-ash', '-ay', '-ock', '-ub', '-ung', '-unk']
