#,Song Title,Saga,Video Title,Artist,Views,Likes,Comments,Duration,Uploaded Date,link
1,The Horse and the Infant,Troy,The Horse and the Infant [ EPIC: The Musical || Animatic ],PipDoodles,334412,11378,267,3:54,2023-05-04,https://www.youtube.com/watch?v=SlIcPOdUg64
1,The Horse and the Infant,Troy,The Horse and the Infant (FULL animatic) | EPIC the musical,Rochi,519055,19183,279,4:04,2023-03-07,https://www.youtube.com/watch?v=3T2Kl364Lek
1,The Horse and the Infant,Troy,THE HORSE AND THE INFANT | EPIC The Musical | ANIMATION,virtue,261147,27046,956,4:01,2025-04-24,https://www.youtube.com/watch?v=CO20tOXZlvI
1,The Horse and the Infant,Troy,The Horse and the Infant Animatic | Epic: The Musical,JENJO III,203672,17288,456,4:07,2025-01-04,https://www.youtube.com/watch?v=s7FoZznlKh0
1,The Horse and the Infant,Troy,The Horse and The Infant Animatic (Epic: the Musical),ElliamArts,141780,5109,173,3:54,2023-02-10,https://www.youtube.com/watch?v=h9xHC9Uauhs
1,The Horse and the Infant,Troy,EPIC Horse and the Infant Animatic (new song version),AliMar,53423,3713,118,3:55,2024-07-23,https://www.youtube.com/watch?v=Xiu2DWaOI_g
1,The Horse and the Infant,Troy,The Horse and the Infant // EPIC the musical animatic,Wholetmothhyperfix,45147,2560,65,3:48,2024-04-13,https://www.youtube.com/watch?v=XrccJAuWWTo
1,The Horse and the Infant,troy,EPIC: The Horse and the Infant [Animatic/Animation],Erynnyen,22450,1871,135,3:58,2025-04-14,https://www.youtube.com/watch?v=qSIAuyxsdrM
1,The Horse and the Infant,Troy,The Horse and The Infant (Animatic) - Epic the Musical,Silver Orchid Eon,2757,177,26,3:51,2025-03-30,https://www.youtube.com/watch?v=ZSrfUviYkew
1,The Horse and the Infant,Troy,The Horse and the Infant | EPIC the Musical Animatic,OPHELIA,1984,147,10,3:55,2024-11-14,https://www.youtube.com/watch?v=zwjeqw3YtsE
1,The Horse and the Infant,Troy,The horse and the infant | epic animatic,Plytona _,2175,165,21,3:54,2025-01-18,https://www.youtube.com/watch?v=hAcVfPv6sLU
1,The Horse and the Infant,Troy,The Horse and the Infant (COMPLETED MAP) / EPIC: The Musical,SharkieePuff !!,36662,2349,116,4:00,2025-01-18,https://www.youtube.com/watch?v=iOqcW5qOv5I
